season,season_type,player_id,player_name,team_id,team_abbreviation,games_played,minutes_per_game,fgm_per_game,fga_per_game,fg_pct,fg3m_per_game,fg3a_per_game,fg3_pct,ftm_per_game,fta_per_game,ft_pct,efg_pct
2022-23,Regular Season,1630639,A.J. Lawson,1610612742,DAL,15,7.2,1.5,2.9,0.5,0.7,1.7,0.4,0.1,0.5,0.25,
2022-23,Regular Season,1631260,AJ Green,1610612749,MIL,35,9.9,1.5,3.6,0.424,1.3,3.0,0.419,0.1,0.1,1.0,
2022-23,Regular Season,1631100,AJ Griffin,1610612737,ATL,72,19.5,3.4,7.4,0.465,1.4,3.6,0.39,0.6,0.7,0.894,
2022-23,Regular Season,203932,Aaron Gordon,1610612743,DEN,68,30.2,6.3,11.2,0.564,0.9,2.5,0.347,2.8,4.6,0.608,
2022-23,Regular Season,1628988,Aaron Holiday,1610612737,ATL,63,13.4,1.5,3.5,0.418,0.6,1.4,0.409,0.4,0.5,0.844,
2022-23,Regular Season,1630174,Aaron Nesmith,1610612754,IND,73,24.9,3.5,8.1,0.427,1.6,4.3,0.366,1.6,1.9,0.838,
2022-23,Regular Season,1630598,Aaron Wiggins,1610612760,OKC,70,18.5,2.7,5.2,0.512,0.7,1.7,0.393,0.8,1.0,0.831,
2022-23,Regular Season,1629678,Admiral Schofield,1610612753,ORL,37,12.2,1.5,3.3,0.451,0.6,2.0,0.324,0.6,0.6,0.913,
2022-23,Regular Season,201143,Al Horford,1610612738,BOS,63,30.5,3.6,7.6,0.476,2.3,5.2,0.446,0.2,0.3,0.714,
2022-23,Regular Season,202692,Alec Burks,1610612765,DET,51,22.0,3.9,9.0,0.436,1.9,4.7,0.414,3.0,3.7,0.814,
2022-23,Regular Season,1630197,Aleksej Pokusevski,1610612760,OKC,34,20.6,3.2,7.3,0.434,1.1,3.1,0.365,0.6,1.0,0.629,
2022-23,Regular Season,1627936,Alex Caruso,1610612741,CHI,67,23.5,1.9,4.3,0.455,0.8,2.3,0.364,0.9,1.1,0.808,
