PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE,RANGE_LABEL
1627734,Domantas Sabonis,1610612758,SAC,27.0,79,71,0.207,110,194,0.567,0.567,0.207,110,194,0.567,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
203507,Giannis Antetokounmpo,1610612749,MIL,28.0,63,51,0.112,85,143,0.594,0.594,0.112,85,143,0.594,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1630581,Josh Giddey,1610612760,OKC,20.0,76,59,0.119,54,133,0.406,0.406,0.119,54,133,0.406,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1628983,Shai Gilgeous-Alexander,1610612760,OKC,24.0,68,56,0.096,67,132,0.508,0.508,0.096,67,132,0.508,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1629640,Keldon Johnson,1610612759,SAS,23.0,61,54,0.117,62,126,0.492,0.492,0.117,62,126,0.492,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1628369,Jayson Tatum,1610612738,BOS,25.0,74,60,0.08,59,124,0.476,0.476,0.078,59,121,0.488,0.002,0,3,0.0,2022-23,Regular Season,0-2 Feet - Very Tight
203999,Nikola Jokić,1610612743,DEN,28.0,69,54,0.111,71,113,0.628,0.628,0.11,71,112,0.634,0.001,0,1,0.0,2022-23,Regular Season,0-2 Feet - Very Tight
1629651,Nic Claxton,1610612751,BKN,24.0,76,54,0.191,67,112,0.598,0.598,0.191,67,112,0.598,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1627826,Ivica Zubac,1610612746,LAC,26.0,76,59,0.218,63,112,0.563,0.563,0.218,63,112,0.563,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1629029,Luka Doncic,1610612742,DAL,24.0,66,53,0.075,59,109,0.541,0.541,0.075,59,109,0.541,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1630532,Franz Wagner,1610612753,ORL,21.0,80,60,0.097,52,108,0.481,0.481,0.097,52,108,0.481,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
203897,Zach LaVine,1610612741,CHI,28.0,76,58,0.078,47,107,0.439,0.439,0.075,47,103,0.456,0.003,0,4,0.0,2022-23,Regular Season,0-2 Feet - Very Tight
1630578,Alperen Sengun,1610612745,HOU,20.0,75,55,0.129,52,103,0.505,0.505,0.129,52,103,0.505,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1627749,Dejounte Murray,1610612737,ATL,26.0,74,58,0.078,41,103,0.398,0.403,0.077,40,101,0.396,0.002,1,2,0.5,2022-23,Regular Season,0-2 Feet - Very Tight
1627759,Jaylen Brown,1610612738,BOS,26.0,67,51,0.074,47,102,0.461,0.466,0.069,46,95,0.484,0.005,1,7,0.143,2022-23,Regular Season,0-2 Feet - Very Tight
1629630,Ja Morant,1610612763,MEM,23.0,61,48,0.084,41,102,0.402,0.402,0.083,41,101,0.406,0.001,0,1,0.0,2022-23,Regular Season,0-2 Feet - Very Tight
203932,Aaron Gordon,1610612743,DEN,27.0,68,52,0.133,59,101,0.584,0.584,0.133,59,101,0.584,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
203991,Clint Capela,1610612737,ATL,29.0,65,47,0.188,56,101,0.554,0.554,0.188,56,101,0.554,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
203076,Anthony Davis,1610612747,LAL,30.0,56,43,0.105,54,101,0.535,0.535,0.105,54,101,0.535,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1628389,Bam Adebayo,1610612748,MIA,25.0,75,55,0.087,52,97,0.536,0.536,0.087,52,97,0.536,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1629628,RJ Barrett,1610612752,NYK,23.0,73,55,0.082,46,97,0.474,0.479,0.08,45,94,0.479,0.003,1,3,0.333,2022-23,Regular Season,0-2 Feet - Very Tight
203497,Rudy Gobert,1610612750,MIN,31.0,69,50,0.174,53,94,0.564,0.564,0.174,53,94,0.564,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1630162,Anthony Edwards,1610612750,MIN,21.0,78,55,0.062,40,94,0.426,0.426,0.061,40,92,0.435,0.001,0,2,0.0,2022-23,Regular Season,0-2 Feet - Very Tight
1627751,Jakob Poeltl,1610612761,TOR,27.0,71,48,0.153,70,93,0.753,0.753,0.153,70,93,0.753,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
1627783,Pascal Siakam,1610612761,TOR,29.0,71,50,0.071,44,93,0.473,0.473,0.071,44,93,0.473,0.0,0,0,,2022-23,Regular Season,0-2 Feet - Very Tight
