PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612742,DAL,15,5,10,108.0,10,23,0.435,30,10.0,23.0,0.435,0.652,2022-23,Regular Season,CatchShoot
1631260,AJ Green,1610612749,MIL,35,27,8,345.0,36,81,0.444,108,36.0,81.0,0.444,0.667,2022-23,Regular Season,CatchShoot
1631100,AJ Griffin,1610612737,ATL,72,34,38,1401.0,78,207,0.377,228,72.0,198.0,0.364,0.551,2022-23,Regular Season,CatchShoot
203932,Aaron Gordon,1610612743,DEN,68,45,23,2055.0,39,126,0.31,111,33.0,104.0,0.317,0.44,2022-23,Regular Season,CatchShoot
1628988,Aaron Holiday,1610612737,ATL,63,32,31,845.0,27,62,0.435,81,27.0,62.0,0.435,0.653,2022-23,Regular Season,CatchShoot
1630174,Aaron Nesmith,1610612754,IND,73,30,43,1816.0,95,273,0.348,283,93.0,268.0,0.347,0.518,2022-23,Regular Season,CatchShoot
1630598,Aaron Wiggins,1610612760,OKC,70,37,33,1297.0,45,116,0.388,134,44.0,113.0,0.389,0.578,2022-23,Regular Season,CatchShoot
1629678,Admiral Schofield,1610612753,ORL,37,14,23,451.0,23,68,0.338,69,23.0,68.0,0.338,0.507,2022-23,Regular Season,CatchShoot
201143,Al Horford,1610612738,BOS,63,44,19,1921.0,145,331,0.438,431,141.0,315.0,0.448,0.651,2022-23,Regular Season,CatchShoot
202692,Alec Burks,1610612765,DET,51,12,39,1122.0,55,126,0.437,163,53.0,122.0,0.434,0.647,2022-23,Regular Season,CatchShoot
1630197,Aleksej Pokusevski,1610612760,OKC,34,16,18,701.0,40,106,0.377,117,37.0,99.0,0.374,0.552,2022-23,Regular Season,CatchShoot
1627936,Alex Caruso,1610612741,CHI,67,33,34,1575.0,54,142,0.38,159,51.0,136.0,0.375,0.56,2022-23,Regular Season,CatchShoot
203458,Alex Len,1610612758,SAC,26,15,11,161.0,0,4,0.0,0,0.0,2.0,0.0,0.0,2022-23,Regular Season,CatchShoot
1628993,Alize Johnson,1610612759,SAS,4,1,3,30.0,0,1,0.0,0,0.0,1.0,0.0,0.0,2022-23,Regular Season,CatchShoot
1631214,Alondes Williams,1610612751,BKN,1,1,0,5.0,0,0,nan,0,nan,nan,nan,nan,2022-23,Regular Season,CatchShoot
1630578,Alperen Sengun,1610612745,HOU,75,18,57,2171.0,26,69,0.377,69,17.0,46.0,0.37,0.5,2022-23,Regular Season,CatchShoot
1629599,Amir Coffey,1610612746,LAC,50,26,24,625.0,12,36,0.333,34,10.0,33.0,0.303,0.472,2022-23,Regular Season,CatchShoot
203083,Andre Drummond,1610612741,CHI,67,32,35,849.0,0,5,0.0,0,0.0,3.0,0.0,0.0,2022-23,Regular Season,CatchShoot
