PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE,REBOUNDING_SCOPE
1630639,A.J. Lawson,1610612742,DAL,8,1,7,84.0,15,5,10,0.333,19,0.789,3,0.938,2022-23,Regular Season,Rebounding,defensive
1631260,AJ Green,1610612749,MIL,23,16,7,298.0,39,14,25,0.359,62,0.629,6,0.696,2022-23,Regular Season,Rebounding,defensive
1631100,AJ Griffin,1610612737,ATL,63,27,36,1309.0,116,25,91,0.216,190,0.611,11,0.648,2022-23,Regular Season,Rebounding,defensive
203932,Aaron Gordon,1610612743,DEN,67,44,23,2031.0,282,71,211,0.252,436,0.647,26,0.688,2022-23,Regular Season,Rebounding,defensive
1628988,Aaron Holiday,1610612737,ATL,39,18,21,629.0,49,5,44,0.102,81,0.605,6,0.653,2022-23,Regular Season,Rebounding,defensive
1630174,Aaron Nesmith,1610612754,IND,71,29,42,1794.0,215,46,169,0.214,428,0.502,48,0.566,2022-23,Regular Season,Rebounding,defensive
1630598,Aaron Wiggins,1610612760,OKC,64,34,30,1244.0,142,42,100,0.296,256,0.555,28,0.623,2022-23,Regular Season,Rebounding,defensive
1629678,Admiral Schofield,1610612753,ORL,24,11,13,360.0,39,11,28,0.282,84,0.464,8,0.513,2022-23,Regular Season,Rebounding,defensive
201143,Al Horford,1610612738,BOS,63,44,19,1921.0,317,89,228,0.281,512,0.619,53,0.691,2022-23,Regular Season,Rebounding,defensive
202692,Alec Burks,1610612765,DET,44,11,33,992.0,138,29,109,0.21,209,0.66,11,0.697,2022-23,Regular Season,Rebounding,defensive
1630197,Aleksej Pokusevski,1610612760,OKC,33,16,17,691.0,114,39,75,0.342,224,0.509,33,0.597,2022-23,Regular Season,Rebounding,defensive
1627936,Alex Caruso,1610612741,CHI,59,27,32,1418.0,152,18,134,0.118,263,0.578,21,0.628,2022-23,Regular Season,Rebounding,defensive
