PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE,REBOUNDING_SCOPE
1630639,A.J. Lawson,1610612742,DAL,8,1,7,84.0,6,5,1,0.833,14,0.429,0,0.429,2022-23,Regular Season,Rebounding,offensive
1631260,AJ Green,1610612749,MIL,23,16,7,298.0,6,2,4,0.333,23,0.261,2,0.286,2022-23,Regular Season,Rebounding,offensive
1631100,AJ Griffin,1610612737,ATL,63,27,36,1309.0,37,12,25,0.324,76,0.487,1,0.493,2022-23,Regular Season,Rebounding,offensive
203932,Aaron Gordon,1610612743,DEN,67,44,23,2031.0,164,113,51,0.689,314,0.522,9,0.538,2022-23,Regular Season,Rebounding,offensive
1628988,Aaron Holiday,1610612737,ATL,39,18,21,629.0,25,10,14,0.4,51,0.49,1,0.5,2022-23,Regular Season,Rebounding,offensive
1630174,Aaron Nesmith,1610612754,IND,71,29,42,1794.0,62,33,29,0.532,179,0.346,6,0.358,2022-23,Regular Season,Rebounding,offensive
1630598,Aaron Wiggins,1610612760,OKC,64,34,30,1244.0,68,41,27,0.603,140,0.486,6,0.507,2022-23,Regular Season,Rebounding,offensive
1629678,Admiral Schofield,1610612753,ORL,24,11,13,360.0,23,11,12,0.478,63,0.365,2,0.377,2022-23,Regular Season,Rebounding,offensive
201143,Al Horford,1610612738,BOS,63,44,19,1921.0,73,40,33,0.548,144,0.507,6,0.529,2022-23,Regular Season,Rebounding,offensive
202692,Alec Burks,1610612765,DET,44,11,33,992.0,17,6,11,0.353,48,0.354,0,0.354,2022-23,Regular Season,Rebounding,offensive
1630197,Aleksej Pokusevski,1610612760,OKC,33,16,17,691.0,45,30,15,0.667,92,0.489,3,0.506,2022-23,Regular Season,Rebounding,offensive
1627936,Alex Caruso,1610612741,CHI,59,27,32,1418.0,41,16,25,0.39,105,0.39,8,0.423,2022-23,Regular Season,Rebounding,offensive
203458,Alex Len,1610612758,SAC,17,9,8,147.0,24,13,11,0.542,48,0.5,1,0.511,2022-23,Regular Season,Rebounding,offensive
1628993,Alize Johnson,1610612759,SAS,4,1,3,30.0,2,2,0,1.0,6,0.333,1,0.4,2022-23,Regular Season,Rebounding,offensive
1631214,Alondes Williams,1610612751,BKN,1,1,0,5.0,0,0,0,0.0,0,0.0,0,0.0,2022-23,Regular Season,Rebounding,offensive
1630578,Alperen Sengun,1610612745,HOU,75,18,57,2171.0,242,169,73,0.698,536,0.451,14,0.464,2022-23,Regular Season,Rebounding,offensive
1629599,Amir Coffey,1610612746,LAC,26,11,15,507.0,17,5,12,0.294,38,0.447,1,0.459,2022-23,Regular Season,Rebounding,offensive
203083,Andre Drummond,1610612741,CHI,67,32,35,849.0,138,108,29,0.783,248,0.556,2,0.561,2022-23,Regular Season,Rebounding,offensive
2738,Andre Iguodala,1610612744,GSW,6,2,4,80.0,3,1,2,0.333,5,0.6,0,0.6,2022-23,Regular Season,Rebounding,offensive
1629614,Andrew Nembhard,1610612754,IND,71,30,41,1979.0,35,6,29,0.171,91,0.385,8,0.422,2022-23,Regular Season,Rebounding,offensive
203952,Andrew Wiggins,1610612744,GSW,35,17,18,1134.0,58,33,25,0.569,129,0.45,3,0.46,2022-23,Regular Season,Rebounding,offensive
1629014,Anfernee Simons,1610612757,POR,57,26,31,1986.0,18,7,11,0.389,69,0.261,7,0.29,2022-23,Regular Season,Rebounding,offensive
203076,Anthony Davis,1610612747,LAL,56,31,25,1905.0,195,155,40,0.795,359,0.543,12,0.562,2022-23,Regular Season,Rebounding,offensive
1630162,Anthony Edwards,1610612750,MIN,76,39,37,2769.0,45,17,28,0.378,148,0.304,8,0.321,2022-23,Regular Season,Rebounding,offensive
1630264,Anthony Gill,1610612764,WAS,42,13,29,553.0,37,18,19,0.486,90,0.411,7,0.446,2022-23,Regular Season,Rebounding,offensive
1630237,Anthony Lamb,1610612744,GSW,54,29,25,1083.0,54,29,25,0.537,130,0.415,5,0.432,2022-23,Regular Season,Rebounding,offensive
1630559,Austin Reaves,1610612747,LAL,57,32,25,1672.0,33,11,22,0.333,82,0.402,7,0.44,2022-23,Regular Season,Rebounding,offensive
203085,Austin Rivers,1610612750,MIN,36,16,20,807.0,5,1,4,0.2,21,0.238,1,0.25,2022-23,Regular Season,Rebounding,offensive
1630245,Ayo Dosunmu,1610612741,CHI,66,33,33,1809.0,44,16,28,0.364,106,0.415,6,0.44,2022-23,Regular Season,Rebounding,offensive
1628389,Bam Adebayo,1610612748,MIA,75,40,35,2598.0,184,122,63,0.663,416,0.442,12,0.455,2022-23,Regular Season,Rebounding,offensive
1627732,Ben Simmons,1610612751,BKN,42,24,18,1105.0,40,20,20,0.5,95,0.421,2,0.43,2022-23,Regular Season,Rebounding,offensive
1631097,Bennedict Mathurin,1610612754,IND,76,32,44,2206.0,87,50,37,0.575,244,0.357,7,0.367,2022-23,Regular Season,Rebounding,offensive
202687,Bismack Biyombo,1610612756,PHX,56,30,26,846.0,89,60,29,0.674,197,0.452,8,0.471,2022-23,Regular Season,Rebounding,offensive
201933,Blake Griffin,1610612738,BOS,36,24,12,538.0,47,27,20,0.574,97,0.485,3,0.5,2022-23,Regular Season,Rebounding,offensive
1631104,Blake Wesley,1610612759,SAS,24,6,18,473.0,12,7,5,0.583,43,0.279,0,0.279,2022-23,Regular Season,Rebounding,offensive
1626246,Boban Marjanovic,1610612745,HOU,27,7,20,158.0,20,11,8,0.55,47,0.426,5,0.476,2022-23,Regular Season,Rebounding,offensive
1626171,Bobby Portis,1610612749,MIL,70,47,23,1818.0,154,105,49,0.682,375,0.411,12,0.424,2022-23,Regular Season,Rebounding,offensive
203992,Bogdan Bogdanović,1610612737,ATL,51,26,25,1436.0,23,5,18,0.217,53,0.434,3,0.46,2022-23,Regular Season,Rebounding,offensive
202711,Bojan Bogdanovic,1610612765,DET,57,15,42,1839.0,34,15,19,0.441,106,0.321,2,0.327,2022-23,Regular Season,Rebounding,offensive
1629626,Bol Bol,1610612753,ORL,70,26,44,1505.0,69,40,29,0.58,144,0.479,6,0.5,2022-23,Regular Season,Rebounding,offensive
1630538,Bones Hyland,1610612746,LAC,49,33,16,1011.0,20,10,10,0.5,59,0.339,2,0.351,2022-23,Regular Season,Rebounding,offensive
203078,Bradley Beal,1610612764,WAS,49,23,26,1643.0,41,16,25,0.39,95,0.432,1,0.436,2022-23,Regular Season,Rebounding,offensive
1630527,Brandon Boston,1610612746,LAC,15,6,9,228.0,7,3,4,0.429,16,0.438,2,0.5,2022-23,Regular Season,Rebounding,offensive
1629634,Brandon Clarke,1610612763,MEM,56,32,24,1090.0,92,67,25,0.728,258,0.357,7,0.367,2022-23,Regular Season,Rebounding,offensive
1627742,Brandon Ingram,1610612740,NOP,45,23,22,1538.0,23,10,13,0.435,70,0.329,3,0.343,2022-23,Regular Season,Rebounding,offensive
1630296,Braxton Key,1610612765,DET,1,0,1,2.0,0,0,0,0.0,2,0.0,0,0.0,2022-23,Regular Season,Rebounding,offensive
201572,Brook Lopez,1610612749,MIL,77,56,21,2342.0,157,104,53,0.662,319,0.492,11,0.51,2022-23,Regular Season,Rebounding,offensive
1628971,Bruce Brown,1610612743,DEN,76,49,27,2204.0,63,38,24,0.603,166,0.38,5,0.391,2022-23,Regular Season,Rebounding,offensive
1628981,Bruno Fernando,1610612737,ATL,34,11,23,378.0,54,33,21,0.611,135,0.4,4,0.412,2022-23,Regular Season,Rebounding,offensive
1631121,Bryce McGowens,1610612766,CHA,37,12,25,734.0,20,10,10,0.5,54,0.37,1,0.377,2022-23,Regular Season,Rebounding,offensive
1627854,Bryn Forbes,1610612750,MIN,11,4,7,132.0,4,1,3,0.25,5,0.8,0,0.8,2022-23,Regular Season,Rebounding,offensive
1631205,Buddy Boeheim,1610612765,DET,5,0,5,50.0,2,1,1,0.5,2,1.0,0,1.0,2022-23,Regular Season,Rebounding,offensive
1627741,Buddy Hield,1610612754,IND,79,35,44,2457.0,67,21,45,0.313,175,0.383,4,0.392,2022-23,Regular Season,Rebounding,offensive
203468,CJ McCollum,1610612740,NOP,72,36,36,2541.0,55,14,42,0.255,119,0.462,2,0.47,2022-23,Regular Season,Rebounding,offensive
1630595,Cade Cunningham,1610612765,DET,12,3,9,400.0,12,5,7,0.417,32,0.375,2,0.4,2022-23,Regular Season,Rebounding,offensive
1631216,Caleb Houstan,1610612753,ORL,41,14,27,728.0,34,13,21,0.382,82,0.415,3,0.43,2022-23,Regular Season,Rebounding,offensive
1628997,Caleb Martin,1610612748,MIA,68,37,31,2008.0,88,29,61,0.33,190,0.463,5,0.476,2022-23,Regular Season,Rebounding,offensive
1629629,Cam Reddish,1610612757,POR,31,12,19,830.0,18,7,11,0.389,42,0.429,2,0.45,2022-23,Regular Season,Rebounding,offensive
1630560,Cam Thomas,1610612751,BKN,42,23,19,841.0,8,3,5,0.375,31,0.258,2,0.276,2022-23,Regular Season,Rebounding,offensive
1629661,Cameron Johnson,1610612751,BKN,41,25,16,1195.0,34,13,21,0.382,80,0.425,1,0.43,2022-23,Regular Season,Rebounding,offensive
1626166,Cameron Payne,1610612756,PHX,42,24,18,847.0,12,4,8,0.333,55,0.218,2,0.226,2022-23,Regular Season,Rebounding,offensive
1627747,Caris LeVert,1610612739,CLE,72,44,28,2204.0,53,27,26,0.509,130,0.408,6,0.427,2022-23,Regular Season,Rebounding,offensive
1630637,Carlik Jones,1610612741,CHI,3,2,1,49.0,1,1,0,1.0,4,0.25,0,0.25,2022-23,Regular Season,Rebounding,offensive
1626224,Cedi Osman,1610612739,CLE,62,40,22,1327.0,25,6,19,0.24,64,0.391,3,0.41,2022-23,Regular Season,Rebounding,offensive
1628435,Chance Comanche,1610612757,POR,1,0,1,21.0,2,1,1,0.5,4,0.5,0,0.5,2022-23,Regular Season,Rebounding,offensive
1629646,Charles Bassey,1610612759,SAS,33,7,26,497.0,75,40,35,0.533,142,0.528,4,0.543,2022-23,Regular Season,Rebounding,offensive
1631320,Chima Moneke,1610612758,SAC,1,0,1,6.0,2,0,2,0.0,4,0.5,0,0.5,2022-23,Regular Season,Rebounding,offensive
1629002,Chimezie Metu,1610612758,SAC,55,36,19,622.0,47,32,15,0.681,111,0.423,4,0.439,2022-23,Regular Season,Rebounding,offensive
1628449,Chris Boucher,1610612761,TOR,76,39,37,1523.0,157,121,36,0.771,363,0.433,16,0.452,2022-23,Regular Season,Rebounding,offensive
1630537,Chris Duarte,1610612754,IND,41,17,24,850.0,19,6,13,0.316,71,0.268,0,0.268,2022-23,Regular Season,Rebounding,offensive
101108,Chris Paul,1610612756,PHX,58,33,25,1877.0,27,6,21,0.222,59,0.458,3,0.482,2022-23,Regular Season,Rebounding,offensive
1631128,Christian Braun,1610612743,DEN,57,37,20,1045.0,48,26,22,0.542,117,0.41,4,0.425,2022-23,Regular Season,Rebounding,offensive
1631132,Christian Koloko,1610612761,TOR,54,27,27,777.0,84,60,24,0.714,205,0.41,6,0.422,2022-23,Regular Season,Rebounding,offensive
1626174,Christian Wood,1610612742,DAL,67,33,34,1738.0,87,59,28,0.678,231,0.377,5,0.385,2022-23,Regular Season,Rebounding,offensive
1629643,Chuma Okeke,1610612753,ORL,22,7,15,492.0,26,9,17,0.346,60,0.433,2,0.448,2022-23,Regular Season,Rebounding,offensive
203991,Clint Capela,1610612737,ATL,65,35,30,1730.0,258,198,58,0.767,461,0.56,8,0.57,2022-23,Regular Season,Rebounding,offensive
1629632,Coby White,1610612741,CHI,64,30,34,1573.0,15,3,12,0.2,50,0.3,3,0.319,2022-23,Regular Season,Rebounding,offensive
1628998,Cody Martin,1610612766,CHA,6,1,5,133.0,8,2,6,0.25,16,0.5,0,0.5,2022-23,Regular Season,Rebounding,offensive
203469,Cody Zeller,1610612748,MIA,15,6,9,217.0,25,18,7,0.72,61,0.41,2,0.424,2022-23,Regular Season,Rebounding,offensive
1630175,Cole Anthony,1610612753,ORL,59,28,31,1523.0,47,23,23,0.489,109,0.431,6,0.456,2022-23,Regular Season,Rebounding,offensive
1631306,Cole Swider,1610612747,LAL,3,0,3,33.0,1,0,1,0.0,1,1.0,0,1.0,2022-23,Regular Season,Rebounding,offensive
1629012,Collin Sexton,1610612762,UTA,38,20,18,929.0,37,17,21,0.459,82,0.451,2,0.463,2022-23,Regular Season,Rebounding,offensive
1630557,Corey Kispert,1610612764,WAS,71,29,42,2033.0,33,14,19,0.424,75,0.44,3,0.458,2022-23,Regular Season,Rebounding,offensive
202709,Cory Joseph,1610612765,DET,50,10,40,1027.0,21,5,16,0.238,53,0.396,4,0.429,2022-23,Regular Season,Rebounding,offensive
1626156,D'Angelo Russell,1610612747,LAL,66,37,29,2164.0,35,13,23,0.371,75,0.467,3,0.486,2022-23,Regular Season,Rebounding,offensive
1630227,Daishen Nix,1610612745,HOU,44,11,33,773.0,18,6,12,0.333,41,0.439,1,0.45,2022-23,Regular Season,Rebounding,offensive
