PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_PTS,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1629060,Rui Hachimura,1610612747,LAL,63,38,25,1466.0,85,170,0.5,170,0.0,3.0,0.0,0.5,2022-23,Regular Season,PullUpShot
201566,Russell Westbrook,1610612746,LAC,73,36,37,2126.0,97,276,0.351,222,28.0,96.0,0.292,0.402,2022-23,Regular Season,PullUpShot
1627853,Ryan Arcidiacono,1610612752,NYK,20,9,11,172.0,1,12,0.083,3,1.0,5.0,0.2,0.125,2022-23,Regular Season,PullUpShot
1631157,Ryan Rollins,1610612744,GSW,12,5,7,62.0,0,2,0.0,0,0.0,1.0,0.0,0.0,2022-23,Regular Season,PullUpShot
1630240,Saben Lee,1610612756,PHX,25,15,10,374.0,6,24,0.25,15,3.0,11.0,0.273,0.313,2022-23,Regular Season,PullUpShot
1630180,Saddiq Bey,1610612737,ATL,77,24,53,2129.0,59,187,0.316,152,34.0,110.0,0.309,0.406,2022-23,Regular Season,PullUpShot
1630573,Sam Hauser,1610612738,BOS,80,55,25,1290.0,11,35,0.314,31,9.0,28.0,0.321,0.443,2022-23,Regular Season,PullUpShot
1630241,Sam Merrill,1610612739,CLE,5,4,1,59.0,4,8,0.5,11,3.0,7.0,0.429,0.688,2022-23,Regular Season,PullUpShot
1630572,Sandro Mamukelashvili,1610612759,SAS,43,23,20,660.0,4,11,0.364,9,1.0,2.0,0.5,0.409,2022-23,Regular Season,PullUpShot
1630583,Santi Aldama,1610612763,MEM,77,47,30,1682.0,11,40,0.275,30,8.0,26.0,0.308,0.375,2022-23,Regular Season,PullUpShot
1630567,Scottie Barnes,1610612761,TOR,77,38,39,2678.0,72,226,0.319,156,12.0,56.0,0.214,0.345,2022-23,Regular Season,PullUpShot
1630590,Scotty Pippen Jr.,1610612747,LAL,6,1,5,32.0,1,5,0.2,3,1.0,2.0,0.5,0.3,2022-23,Regular Season,PullUpShot
201586,Serge Ibaka,1610612749,MIL,16,11,5,185.0,2,5,0.4,4,0.0,0.0,nan,0.4,2022-23,Regular Season,PullUpShot
203552,Seth Curry,1610612751,BKN,61,37,24,1211.0,105,214,0.491,238,28.0,68.0,0.412,0.556,2022-23,Regular Season,PullUpShot
1631101,Shaedon Sharpe,1610612757,POR,80,32,48,1779.0,75,232,0.323,182,32.0,128.0,0.25,0.392,2022-23,Regular Season,PullUpShot
1628983,Shai Gilgeous-Alexander,1610612760,OKC,68,33,35,2416.0,283,612,0.462,608,42.0,118.0,0.356,0.497,2022-23,Regular Season,PullUpShot
1629003,Shake Milton,1610612755,PHI,76,52,24,1567.0,45,129,0.349,100,10.0,33.0,0.303,0.388,2022-23,Regular Season,PullUpShot
1627885,Shaquille Harrison,1610612747,LAL,5,1,4,120.0,2,8,0.25,5,1.0,3.0,0.333,0.313,2022-23,Regular Season,PullUpShot
1631323,Simone Fontecchio,1610612762,UTA,52,25,27,766.0,27,76,0.355,64,10.0,37.0,0.27,0.421,2022-23,Regular Season,PullUpShot
1630219,Skylar Mays,1610612757,POR,6,1,5,189.0,14,24,0.583,33,5.0,7.0,0.714,0.688,2022-23,Regular Season,PullUpShot
203915,Spencer Dinwiddie,1610612751,BKN,79,41,38,2725.0,157,436,0.36,407,93.0,278.0,0.335,0.467,2022-23,Regular Season,PullUpShot
1626169,Stanley Johnson,1610612762,UTA,30,5,25,469.0,10,22,0.455,22,2.0,5.0,0.4,0.5,2022-23,Regular Season,PullUpShot
1630649,Stanley Umude,1610612765,DET,1,0,1,2.0,0,0,nan,0,0.0,0.0,nan,nan,2022-23,Regular Season,PullUpShot
201939,Stephen Curry,1610612744,GSW,56,30,26,1941.0,223,491,0.454,598,152.0,337.0,0.451,0.609,2022-23,Regular Season,PullUpShot
1628425,Sterling Brown,1610612747,LAL,4,2,2,24.0,0,0,nan,0,0.0,0.0,nan,nan,2022-23,Regular Season,PullUpShot
203500,Steven Adams,1610612763,MEM,42,28,14,1133.0,0,1,0.0,0,0.0,0.0,nan,0.0,2022-23,Regular Season,PullUpShot
1629004,Svi Mykhailiuk,1610612766,CHA,32,16,16,468.0,24,64,0.375,65,17.0,42.0,0.405,0.508,2022-23,Regular Season,PullUpShot
204456,T.J. McConnell,1610612754,IND,75,31,44,1526.0,83,150,0.553,176,10.0,16.0,0.625,0.587,2022-23,Regular Season,PullUpShot
203933,T.J. Warren,1610612756,PHX,42,26,16,687.0,48,104,0.462,97,1.0,8.0,0.125,0.466,2022-23,Regular Season,PullUpShot
201959,Taj Gibson,1610612764,WAS,49,21,28,480.0,5,10,0.5,10,0.0,2.0,0.0,0.5,2022-23,Regular Season,PullUpShot
1629659,Talen Horton-Tucker,1610612762,UTA,65,30,35,1313.0,62,182,0.341,150,26.0,93.0,0.28,0.412,2022-23,Regular Season,PullUpShot
1631106,Tari Eason,1610612745,HOU,82,22,60,1767.0,7,33,0.212,15,1.0,10.0,0.1,0.227,2022-23,Regular Season,PullUpShot
1627752,Taurean Prince,1610612750,MIN,54,31,23,1193.0,28,74,0.378,64,8.0,33.0,0.242,0.432,2022-23,Regular Season,PullUpShot
1629611,Terance Mann,1610612746,LAC,81,44,37,1872.0,46,113,0.407,112,20.0,54.0,0.37,0.496,2022-23,Regular Season,PullUpShot
1629056,Terence Davis,1610612758,SAC,64,38,26,841.0,32,86,0.372,89,25.0,64.0,0.391,0.517,2022-23,Regular Season,PullUpShot
203082,Terrence Ross,1610612756,PHX,63,27,36,1331.0,80,178,0.449,173,13.0,48.0,0.271,0.486,2022-23,Regular Season,PullUpShot
1626179,Terry Rozier,1610612766,CHA,63,19,44,2221.0,194,520,0.373,474,86.0,274.0,0.314,0.456,2022-23,Regular Season,PullUpShot
1630678,Terry Taylor,1610612741,CHI,31,13,18,263.0,1,5,0.2,2,0.0,1.0,0.0,0.2,2022-23,Regular Season,PullUpShot
201152,Thaddeus Young,1610612761,TOR,54,23,31,795.0,3,9,0.333,6,0.0,1.0,0.0,0.333,2022-23,Regular Season,PullUpShot
203648,Thanasis Antetokounmpo,1610612749,MIL,37,25,12,206.0,0,4,0.0,0,0.0,2.0,0.0,0.0,2022-23,Regular Season,PullUpShot
1630177,Theo Maledon,1610612766,CHA,44,14,30,854.0,28,85,0.329,64,8.0,40.0,0.2,0.376,2022-23,Regular Season,PullUpShot
1629033,Theo Pinson,1610612742,DAL,40,19,21,323.0,5,11,0.455,14,4.0,9.0,0.444,0.636,2022-23,Regular Season,PullUpShot
1628418,Thomas Bryant,1610612743,DEN,59,33,26,1081.0,3,10,0.3,6,0.0,1.0,0.0,0.3,2022-23,Regular Season,PullUpShot
203501,Tim Hardaway Jr.,1610612742,DAL,71,37,34,2152.0,90,245,0.367,224,44.0,123.0,0.358,0.457,2022-23,Regular Season,PullUpShot
202699,Tobias Harris,1610612755,PHI,74,47,27,2436.0,68,154,0.442,150,14.0,35.0,0.4,0.487,2022-23,Regular Season,PullUpShot
1628396,Tony Bradley,1610612741,CHI,12,5,7,33.0,0,0,nan,0,0.0,0.0,nan,nan,2022-23,Regular Season,PullUpShot
1628470,Torrey Craig,1610612756,PHX,79,44,35,1948.0,12,47,0.255,26,2.0,10.0,0.2,0.277,2022-23,Regular Season,PullUpShot
1629027,Trae Young,1610612737,ATL,73,38,35,2541.0,286,739,0.387,692,120.0,367.0,0.327,0.468,2022-23,Regular Season,PullUpShot
1630200,Tre Jones,1610612759,SAS,68,20,48,1984.0,104,266,0.391,214,6.0,32.0,0.188,0.402,2022-23,Regular Season,PullUpShot
1630544,Tre Mann,1610612760,OKC,67,31,36,1183.0,84,234,0.359,214,46.0,151.0,0.305,0.457,2022-23,Regular Season,PullUpShot
1630570,Trendon Watford,1610612757,POR,62,26,36,1182.0,14,28,0.5,28,0.0,1.0,0.0,0.5,2022-23,Regular Season,PullUpShot
