PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE,REBOUNDING_SCOPE
203932,Aaron Gordon,1610612743,DEN,74,45,29,2348.0,125,80,42,0.64,211,0.592,7,0.613,2021-22,Regular Season,Rebounding,offensive
1630565,Aaron Henry,1610612755,PHI,1,1,0,5.0,0,0,0,0.0,0,0.0,0,0.0,2021-22,Regular Season,Rebounding,offensive
1628988,Aaron Holiday,1610612756,PHX,49,27,22,853.0,24,6,18,0.25,59,0.407,3,0.429,2021-22,Regular Season,Rebounding,offensive
1630174,Aaron Nesmith,1610612738,BOS,32,19,13,440.0,15,4,11,0.267,40,0.375,2,0.395,2021-22,Regular Season,Rebounding,offensive
1630598,Aaron Wiggins,1610612760,OKC,47,12,35,1180.0,51,24,27,0.471,122,0.418,7,0.443,2021-22,Regular Season,Rebounding,offensive
1627846,Abdel Nader,1610612756,PHX,11,9,2,132.0,4,4,0,1.0,18,0.222,1,0.235,2021-22,Regular Season,Rebounding,offensive
1629678,Admiral Schofield,1610612753,ORL,26,6,20,394.0,17,11,6,0.647,47,0.362,3,0.386,2021-22,Regular Season,Rebounding,offensive
201143,Al Horford,1610612738,BOS,68,46,22,1974.0,106,69,36,0.651,215,0.493,13,0.525,2021-22,Regular Season,Rebounding,offensive
202692,Alec Burks,1610612752,NYK,80,36,44,2280.0,45,12,33,0.267,128,0.352,4,0.363,2021-22,Regular Season,Rebounding,offensive
1630758,Aleem Ford,1610612753,ORL,4,2,2,67.0,2,1,1,0.5,3,0.667,0,0.667,2021-22,Regular Season,Rebounding,offensive
1630197,Aleksej Pokusevski,1610612760,OKC,58,18,40,1206.0,73,43,30,0.589,146,0.5,7,0.525,2021-22,Regular Season,Rebounding,offensive
1627936,Alex Caruso,1610612741,CHI,39,23,16,1087.0,33,17,17,0.515,94,0.351,5,0.371,2021-22,Regular Season,Rebounding,offensive
203458,Alex Len,1610612758,SAC,37,16,21,611.0,52,37,15,0.712,124,0.419,3,0.43,2021-22,Regular Season,Rebounding,offensive
1628035,Alfonzo McKinnie,1610612741,CHI,13,6,7,169.0,13,6,7,0.462,25,0.52,1,0.542,2021-22,Regular Season,Rebounding,offensive
1628993,Alize Johnson,1610612740,NOP,16,10,6,142.0,28,20,8,0.714,70,0.4,1,0.406,2021-22,Regular Season,Rebounding,offensive
1630578,Alperen Sengun,1610612745,HOU,71,17,54,1475.0,138,102,34,0.739,323,0.427,9,0.439,2021-22,Regular Season,Rebounding,offensive
1629599,Amir Coffey,1610612746,LAC,57,28,29,1449.0,26,6,19,0.231,75,0.347,1,0.351,2021-22,Regular Season,Rebounding,offensive
203083,Andre Drummond,1610612751,BKN,73,42,31,1437.0,229,174,55,0.76,428,0.535,7,0.544,2021-22,Regular Season,Rebounding,offensive
2738,Andre Iguodala,1610612744,GSW,28,18,10,552.0,21,13,8,0.619,38,0.553,1,0.568,2021-22,Regular Season,Rebounding,offensive
203952,Andrew Wiggins,1610612744,GSW,70,45,25,2235.0,85,50,34,0.588,187,0.455,5,0.467,2021-22,Regular Season,Rebounding,offensive
1629014,Anfernee Simons,1610612757,POR,50,22,28,1498.0,26,8,18,0.308,67,0.388,1,0.394,2021-22,Regular Season,Rebounding,offensive
203076,Anthony Davis,1610612747,LAL,40,17,23,1404.0,106,83,22,0.783,205,0.517,7,0.535,2021-22,Regular Season,Rebounding,offensive
1630162,Anthony Edwards,1610612750,MIN,69,37,32,2396.0,62,18,42,0.29,134,0.463,3,0.473,2021-22,Regular Season,Rebounding,offensive
1630264,Anthony Gill,1610612764,WAS,31,11,20,424.0,33,22,11,0.667,71,0.465,1,0.471,2021-22,Regular Season,Rebounding,offensive
1630237,Anthony Lamb,1610612745,HOU,1,0,1,4.0,0,0,0,0.0,0,0.0,0,0.0,2021-22,Regular Season,Rebounding,offensive
1629717,Armoni Brooks,1610612761,TOR,40,17,23,724.0,20,3,17,0.15,32,0.625,0,0.625,2021-22,Regular Season,Rebounding,offensive
1630559,Austin Reaves,1610612747,LAL,54,25,29,1326.0,45,19,27,0.422,104,0.433,2,0.441,2021-22,Regular Season,Rebounding,offensive
203085,Austin Rivers,1610612743,DEN,54,32,22,1279.0,19,3,15,0.158,47,0.404,3,0.432,2021-22,Regular Season,Rebounding,offensive
202340,Avery Bradley,1610612747,LAL,55,25,30,1303.0,31,10,21,0.323,80,0.388,3,0.403,2021-22,Regular Season,Rebounding,offensive
1630245,Ayo Dosunmu,1610612741,CHI,67,39,28,1874.0,27,10,17,0.37,85,0.318,3,0.329,2021-22,Regular Season,Rebounding,offensive
1629168,BJ Johnson,1610612753,ORL,4,2,2,65.0,6,4,2,0.667,9,0.667,0,0.667,2021-22,Regular Season,Rebounding,offensive
1628389,Bam Adebayo,1610612748,MIA,56,36,20,1825.0,137,88,48,0.642,316,0.434,9,0.446,2021-22,Regular Season,Rebounding,offensive
203463,Ben McLemore,1610612757,POR,52,16,36,1139.0,12,5,7,0.417,60,0.2,2,0.207,2021-22,Regular Season,Rebounding,offensive
202687,Bismack Biyombo,1610612756,PHX,32,26,6,480.0,62,43,18,0.694,129,0.481,3,0.492,2021-22,Regular Season,Rebounding,offensive
201933,Blake Griffin,1610612751,BKN,53,26,27,940.0,60,45,14,0.75,129,0.465,2,0.472,2021-22,Regular Season,Rebounding,offensive
1626246,Boban Marjanovic,1610612742,DAL,14,7,7,97.0,8,7,0,0.875,22,0.364,1,0.381,2021-22,Regular Season,Rebounding,offensive
1626171,Bobby Portis,1610612749,MIL,72,46,26,2028.0,180,137,43,0.761,403,0.447,13,0.462,2021-22,Regular Season,Rebounding,offensive
203992,Bogdan Bogdanović,1610612737,ATL,63,33,30,1849.0,29,17,12,0.586,78,0.372,1,0.377,2021-22,Regular Season,Rebounding,offensive
202711,Bojan Bogdanovic,1610612762,UTA,68,44,24,2104.0,58,24,34,0.414,164,0.354,3,0.36,2021-22,Regular Season,Rebounding,offensive
1629626,Bol Bol,1610612753,ORL,10,3,7,72.0,4,1,3,0.25,6,0.667,0,0.667,2021-22,Regular Season,Rebounding,offensive
1630538,Bones Hyland,1610612743,DEN,64,36,28,1242.0,14,1,13,0.071,74,0.189,4,0.2,2021-22,Regular Season,Rebounding,offensive
202954,Brad Wanamaker,1610612764,WAS,20,8,12,296.0,6,1,4,0.167,22,0.273,0,0.273,2021-22,Regular Season,Rebounding,offensive
203078,Bradley Beal,1610612764,WAS,40,17,23,1439.0,38,14,24,0.368,85,0.447,6,0.481,2021-22,Regular Season,Rebounding,offensive
1630527,Brandon Boston,1610612746,LAC,35,19,16,652.0,16,8,8,0.5,41,0.39,1,0.4,2021-22,Regular Season,Rebounding,offensive
1629634,Brandon Clarke,1610612763,MEM,61,43,18,1209.0,134,103,31,0.769,282,0.475,9,0.491,2021-22,Regular Season,Rebounding,offensive
