PLAYER_ID,PLAYER_NAME,POSITION,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,SEASON_TYPE
203932,Aaron Gordon,PF,1610612743,DEN,26.0,6-8,80,235,Arizona,USA,2014,1,4,75,15.0,5.9,2.5,6.2,0.057,0.129,0.194,0.602,0.109,2021-22,Regular Season
1630565,Aaron Henry,SF,1610612755,PHI,22.0,6-5,77,210,Michigan State,USA,Undrafted,Undrafted,Undrafted,6,0.3,0.2,0.0,-56.0,0.0,0.048,0.149,0.2,0.0,2021-22,Regular Season
1628988,Aaron Holiday,PG,1610612756,PHX,25.0,6-0,72,185,UCLA,USA,2018,1,23,63,6.3,1.9,2.4,-1.4,0.023,0.092,0.182,0.544,0.223,2021-22,Regular Season
1630174,Aaron Nesmith,SF,1610612738,BOS,22.0,6-5,77,215,Vanderbilt,USA,2020,1,14,52,3.8,1.7,0.4,3.0,0.025,0.117,0.164,0.507,0.057,2021-22,Regular Season
1630598,Aaron Wiggins,SG,1610612760,OKC,23.0,6-4,76,190,Maryland,USA,2021,2,55,50,8.3,3.6,1.4,-8.1,0.04,0.098,0.149,0.556,0.083,2021-22,Regular Season
1627846,Abdel Nader,SF,1610612756,PHX,28.0,6-5,77,225,Iowa State,Egypt,2016,2,58,14,2.4,1.9,0.5,-0.9,0.026,0.145,0.139,0.431,0.065,2021-22,Regular Season
1630278,Ade Murkey,SG,1610612758,SAC,24.0,6-5,77,200,Denver,USA,Undrafted,Undrafted,Undrafted,1,0.0,0.0,0.0,-33.3,0.0,0.0,0.0,0.0,0.0,2021-22,Regular Season
1629678,Admiral Schofield,SF,1610612753,ORL,25.0,6-5,77,241,Tennessee,United Kingdom,2019,2,42,38,3.8,2.3,0.7,-13.5,0.033,0.146,0.143,0.538,0.084,2021-22,Regular Season
1629958,Ahmad Caver,SG,1610612754,IND,25.0,6-2,74,174,Old Dominion,USA,2019,,,1,2.0,0.0,0.0,133.3,0.0,0.0,0.5,1.0,0.0,2021-22,Regular Season
201143,Al Horford,C,1610612738,BOS,36.0,6-9,81,240,Florida,Dominican Republic,2007,1,3,69,10.2,7.7,3.4,9.3,0.054,0.201,0.147,0.574,0.159,2021-22,Regular Season
202692,Alec Burks,SG,1610612752,NYK,30.0,6-6,78,214,Colorado,USA,2011,1,12,81,11.7,4.9,3.0,2.3,0.019,0.148,0.171,0.559,0.158,2021-22,Regular Season
1630758,Aleem Ford,SF,1610612753,ORL,24.0,6-8,80,220,Wisconsin,USA,Undrafted,Undrafted,Undrafted,5,2.8,3.0,0.4,-22.1,0.028,0.16,0.148,0.35,0.043,2021-22,Regular Season
1630197,Aleksej Pokusevski,PF,1610612760,OKC,20.0,7-0,84,190,,Serbia,2020,1,17,61,7.6,5.2,2.1,-2.5,0.054,0.189,0.195,0.485,0.161,2021-22,Regular Season
1627936,Alex Caruso,SG,1610612741,CHI,28.0,6-5,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,41,7.4,3.6,4.0,5.1,0.029,0.101,0.13,0.528,0.194,2021-22,Regular Season
203458,Alex Len,C,1610612758,SAC,29.0,7-0,84,250,Maryland,Ukraine,2013,1,5,39,6.0,4.1,1.2,-5.5,0.076,0.168,0.165,0.577,0.104,2021-22,Regular Season
1628035,Alfonzo McKinnie,SF,1610612741,CHI,29.0,6-7,79,215,Wisc.-Green Bay,USA,Undrafted,Undrafted,Undrafted,17,3.5,1.9,0.3,-12.9,0.059,0.115,0.148,0.457,0.034,2021-22,Regular Season
1628993,Alize Johnson,PF,1610612740,NOP,26.0,6-8,80,212,Missouri State,USA,2018,2,50,23,1.8,2.7,0.4,-10.6,0.156,0.202,0.14,0.463,0.08,2021-22,Regular Season
1630578,Alperen Sengun,C,1610612745,HOU,19.0,6-10,82,243,,Turkey,2021,1,16,72,9.6,5.5,2.6,-10.2,0.089,0.174,0.214,0.552,0.193,2021-22,Regular Season
1629599,Amir Coffey,SG,1610612746,LAC,25.0,6-7,79,210,Minnesota,USA,Undrafted,Undrafted,Undrafted,69,9.0,2.9,1.8,-0.9,0.017,0.102,0.154,0.598,0.112,2021-22,Regular Season
203083,Andre Drummond,C,1610612751,BKN,28.0,6-10,82,279,Connecticut,USA,2012,1,9,73,7.9,9.3,1.8,2.4,0.155,0.305,0.181,0.574,0.13,2021-22,Regular Season
2738,Andre Iguodala,SF,1610612744,GSW,38.0,6-6,78,215,Arizona,USA,2004,1,9,31,4.0,3.2,3.7,8.7,0.035,0.117,0.113,0.478,0.263,2021-22,Regular Season
203952,Andrew Wiggins,SF,1610612744,GSW,27.0,6-7,79,197,Kansas,Canada,2014,1,1,73,17.2,4.5,2.2,5.8,0.036,0.095,0.224,0.56,0.109,2021-22,Regular Season
1629014,Anfernee Simons,SG,1610612757,POR,23.0,6-3,75,181,,USA,2018,1,24,57,17.3,2.6,3.9,-2.5,0.015,0.075,0.244,0.583,0.219,2021-22,Regular Season
203076,Anthony Davis,C,1610612747,LAL,29.0,6-10,82,253,Kentucky,USA,2012,1,1,40,23.2,9.9,3.1,-3.0,0.072,0.196,0.263,0.578,0.147,2021-22,Regular Season
1630162,Anthony Edwards,SG,1610612750,MIN,20.0,6-4,76,225,Georgia,USA,2020,1,1,72,21.3,4.8,3.8,4.0,0.023,0.113,0.262,0.56,0.173,2021-22,Regular Season
1630264,Anthony Gill,PF,1610612764,WAS,29.0,6-7,79,230,Virginia,USA,Undrafted,Undrafted,Undrafted,44,4.1,1.9,0.6,5.8,0.075,0.112,0.138,0.682,0.08,2021-22,Regular Season
