PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE,REBOUNDING_SCOPE
203932,Aaron Gordon,1610612743,DEN,74,45,29,2348.0,314,79,235,0.252,437,0.719,20,0.753,2021-22,Regular Season,Rebounding,defensive
1630565,Aaron Henry,1610612755,PHI,1,1,0,5.0,1,0,1,0.0,1,1.0,0,1.0,2021-22,Regular Season,Rebounding,defensive
1628988,Aaron Holiday,1610612756,PHX,49,27,22,853.0,98,7,91,0.071,132,0.742,8,0.79,2021-22,Regular Season,Rebounding,defensive
1630174,Aaron Nesmith,1610612738,BOS,32,19,13,440.0,74,15,59,0.203,130,0.569,16,0.649,2021-22,Regular Season,Rebounding,defensive
1630598,Aaron Wiggins,1610612760,OKC,47,12,35,1180.0,127,29,98,0.228,218,0.583,24,0.655,2021-22,Regular Season,Rebounding,defensive
1627846,Abdel Nader,1610612756,PHX,11,9,2,132.0,23,6,17,0.261,34,0.676,4,0.767,2021-22,Regular Season,Rebounding,defensive
1629678,Admiral Schofield,1610612753,ORL,26,6,20,394.0,72,11,60,0.153,103,0.699,12,0.791,2021-22,Regular Season,Rebounding,defensive
201143,Al Horford,1610612738,BOS,68,46,22,1974.0,420,136,283,0.324,616,0.682,46,0.737,2021-22,Regular Season,Rebounding,defensive
202692,Alec Burks,1610612752,NYK,80,36,44,2280.0,343,67,276,0.195,511,0.671,41,0.73,2021-22,Regular Season,Rebounding,defensive
1630758,Aleem Ford,1610612753,ORL,4,2,2,67.0,13,1,12,0.077,22,0.591,3,0.684,2021-22,Regular Season,Rebounding,defensive
1630197,Aleksej Pokusevski,1610612760,OKC,58,18,40,1206.0,244,47,197,0.193,371,0.658,40,0.737,2021-22,Regular Season,Rebounding,defensive
1627936,Alex Caruso,1610612741,CHI,39,23,16,1087.0,114,20,92,0.175,188,0.606,14,0.655,2021-22,Regular Season,Rebounding,defensive
203458,Alex Len,1610612758,SAC,37,16,21,611.0,109,39,71,0.358,215,0.507,35,0.606,2021-22,Regular Season,Rebounding,defensive
1628035,Alfonzo McKinnie,1610612741,CHI,13,6,7,169.0,20,4,16,0.2,32,0.625,1,0.645,2021-22,Regular Season,Rebounding,defensive
1628993,Alize Johnson,1610612740,NOP,16,10,6,142.0,33,8,25,0.242,55,0.6,3,0.635,2021-22,Regular Season,Rebounding,defensive
1630578,Alperen Sengun,1610612745,HOU,71,17,54,1475.0,255,74,180,0.29,453,0.563,49,0.631,2021-22,Regular Season,Rebounding,defensive
1629599,Amir Coffey,1610612746,LAC,57,28,29,1449.0,169,25,143,0.148,254,0.665,28,0.748,2021-22,Regular Season,Rebounding,defensive
203083,Andre Drummond,1610612751,BKN,73,42,31,1437.0,451,151,300,0.335,625,0.722,33,0.762,2021-22,Regular Season,Rebounding,defensive
2738,Andre Iguodala,1610612744,GSW,28,18,10,552.0,76,22,55,0.289,113,0.673,7,0.717,2021-22,Regular Season,Rebounding,defensive
203952,Andrew Wiggins,1610612744,GSW,70,45,25,2235.0,236,52,184,0.22,447,0.528,34,0.571,2021-22,Regular Season,Rebounding,defensive
1629014,Anfernee Simons,1610612757,POR,50,22,28,1498.0,125,21,104,0.168,218,0.573,23,0.641,2021-22,Regular Season,Rebounding,defensive
203076,Anthony Davis,1610612747,LAL,40,17,23,1404.0,288,107,180,0.372,442,0.652,31,0.701,2021-22,Regular Season,Rebounding,defensive
1630162,Anthony Edwards,1610612750,MIN,69,37,32,2396.0,281,44,235,0.157,446,0.63,48,0.706,2021-22,Regular Season,Rebounding,defensive
1630264,Anthony Gill,1610612764,WAS,31,11,20,424.0,52,8,44,0.154,84,0.619,11,0.712,2021-22,Regular Season,Rebounding,defensive
1630237,Anthony Lamb,1610612745,HOU,1,0,1,4.0,1,0,1,0.0,2,0.5,0,0.5,2021-22,Regular Season,Rebounding,defensive
1629717,Armoni Brooks,1610612761,TOR,40,17,23,724.0,83,9,74,0.108,124,0.669,8,0.716,2021-22,Regular Season,Rebounding,defensive
1630559,Austin Reaves,1610612747,LAL,54,25,29,1326.0,148,24,124,0.162,262,0.565,21,0.614,2021-22,Regular Season,Rebounding,defensive
203085,Austin Rivers,1610612743,DEN,54,32,22,1279.0,95,18,77,0.189,176,0.54,20,0.609,2021-22,Regular Season,Rebounding,defensive
202340,Avery Bradley,1610612747,LAL,55,25,30,1303.0,105,17,88,0.162,184,0.571,16,0.625,2021-22,Regular Season,Rebounding,defensive
1630245,Ayo Dosunmu,1610612741,CHI,67,39,28,1874.0,187,37,150,0.198,302,0.619,35,0.7,2021-22,Regular Season,Rebounding,defensive
1629168,BJ Johnson,1610612753,ORL,4,2,2,65.0,9,2,7,0.222,15,0.6,0,0.6,2021-22,Regular Season,Rebounding,defensive
1628389,Bam Adebayo,1610612748,MIA,56,36,20,1825.0,427,118,307,0.276,609,0.701,50,0.764,2021-22,Regular Season,Rebounding,defensive
203463,Ben McLemore,1610612757,POR,52,16,36,1139.0,91,25,65,0.275,183,0.497,18,0.552,2021-22,Regular Season,Rebounding,defensive
202687,Bismack Biyombo,1610612756,PHX,32,26,6,480.0,102,31,71,0.304,163,0.626,19,0.708,2021-22,Regular Season,Rebounding,defensive
201933,Blake Griffin,1610612751,BKN,53,26,27,940.0,168,56,112,0.333,278,0.604,33,0.686,2021-22,Regular Season,Rebounding,defensive
1626246,Boban Marjanovic,1610612742,DAL,14,7,7,97.0,31,7,25,0.226,40,0.775,4,0.861,2021-22,Regular Season,Rebounding,defensive
1626171,Bobby Portis,1610612749,MIL,72,46,26,2028.0,477,110,367,0.231,733,0.651,62,0.711,2021-22,Regular Season,Rebounding,defensive
203992,Bogdan Bogdanović,1610612737,ATL,63,33,30,1849.0,221,41,180,0.186,363,0.609,32,0.668,2021-22,Regular Season,Rebounding,defensive
202711,Bojan Bogdanovic,1610612762,UTA,68,44,24,2104.0,238,47,192,0.197,389,0.612,42,0.686,2021-22,Regular Season,Rebounding,defensive
1629626,Bol Bol,1610612753,ORL,10,3,7,72.0,16,4,12,0.25,17,0.941,1,1.0,2021-22,Regular Season,Rebounding,defensive
1630538,Bones Hyland,1610612743,DEN,64,36,28,1242.0,174,20,153,0.115,284,0.613,26,0.674,2021-22,Regular Season,Rebounding,defensive
202954,Brad Wanamaker,1610612764,WAS,20,8,12,296.0,33,4,30,0.121,55,0.6,5,0.66,2021-22,Regular Season,Rebounding,defensive
203078,Bradley Beal,1610612764,WAS,40,17,23,1439.0,151,35,116,0.232,240,0.629,22,0.693,2021-22,Regular Season,Rebounding,defensive
1630527,Brandon Boston,1610612746,LAC,35,19,16,652.0,92,15,78,0.163,156,0.59,15,0.652,2021-22,Regular Season,Rebounding,defensive
1629634,Brandon Clarke,1610612763,MEM,61,43,18,1209.0,204,57,147,0.279,364,0.56,53,0.656,2021-22,Regular Season,Rebounding,defensive
1629164,Brandon Goodwin,1610612739,CLE,25,14,11,437.0,53,10,43,0.189,80,0.663,6,0.716,2021-22,Regular Season,Rebounding,defensive
1627742,Brandon Ingram,1610612740,NOP,54,28,26,1834.0,276,69,206,0.25,420,0.657,43,0.732,2021-22,Regular Season,Rebounding,defensive
202688,Brandon Knight,1610612742,DAL,4,1,3,58.0,8,2,6,0.25,11,0.727,0,0.727,2021-22,Regular Season,Rebounding,defensive
1630314,Brandon Williams,1610612757,POR,21,2,19,584.0,55,9,46,0.164,104,0.529,4,0.55,2021-22,Regular Season,Rebounding,defensive
1630296,Braxton Key,1610612765,DET,11,5,6,197.0,37,12,26,0.324,63,0.587,5,0.638,2021-22,Regular Season,Rebounding,defensive
1630271,Brodric Thomas,1610612738,BOS,7,6,1,45.0,8,3,5,0.375,13,0.615,1,0.667,2021-22,Regular Season,Rebounding,defensive
201572,Brook Lopez,1610612749,MIL,13,10,3,298.0,34,11,23,0.324,78,0.436,9,0.493,2021-22,Regular Season,Rebounding,defensive
1628971,Bruce Brown,1610612751,BKN,71,37,34,1769.0,245,48,197,0.196,398,0.616,33,0.671,2021-22,Regular Season,Rebounding,defensive
1628981,Bruno Fernando,1610612745,HOU,21,9,12,133.0,37,8,29,0.216,59,0.627,6,0.698,2021-22,Regular Season,Rebounding,defensive
1627854,Bryn Forbes,1610612743,DEN,49,19,30,962.0,83,11,72,0.133,136,0.61,9,0.654,2021-22,Regular Season,Rebounding,defensive
1627741,Buddy Hield,1610612754,IND,79,25,54,2443.0,284,41,243,0.144,524,0.542,54,0.604,2021-22,Regular Season,Rebounding,defensive
1629604,CJ Elleby,1610612757,POR,54,15,39,1146.0,161,26,134,0.161,277,0.581,21,0.629,2021-22,Regular Season,Rebounding,defensive
203468,CJ McCollum,1610612740,NOP,61,28,33,2111.0,216,27,187,0.125,329,0.657,22,0.704,2021-22,Regular Season,Rebounding,defensive
1630595,Cade Cunningham,1610612765,DET,61,19,42,2012.0,292,61,231,0.209,463,0.631,33,0.679,2021-22,Regular Season,Rebounding,defensive
1628997,Caleb Martin,1610612748,MIA,58,35,23,1350.0,160,29,131,0.181,289,0.554,31,0.62,2021-22,Regular Season,Rebounding,defensive
1629629,Cam Reddish,1610612752,NYK,38,17,21,884.0,80,11,69,0.138,129,0.62,10,0.672,2021-22,Regular Season,Rebounding,defensive
1630560,Cam Thomas,1610612751,BKN,54,25,29,1109.0,145,28,117,0.193,250,0.58,18,0.625,2021-22,Regular Season,Rebounding,defensive
