PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE,REBOUNDING_SCOPE
203084,Harrison Barnes,1610612759,SAS,79,32,47,2151.0,97,38,59,0.392,186,0.522,4,0.533,2024-25,Regular Season,Rebounding,offensive
1631127,Harrison Ingram,1610612759,SAS,5,0,5,35.0,2,1,1,0.5,6,0.333,1,0.4,2024-25,Regular Season,Rebounding,offensive
1629312,Haywood Highsmith,1610612748,MIA,69,35,34,1743.0,72,37,34,0.514,174,0.414,6,0.429,2024-25,Regular Season,Rebounding,offensive
1630529,Herbert Jones,1610612740,NOP,19,5,14,630.0,22,11,11,0.5,43,0.512,0,0.512,2024-25,Regular Season,Rebounding,offensive
1641816,Hunter Tyson,1610612743,DEN,33,20,13,343.0,25,13,11,0.52,51,0.49,1,0.5,2024-25,Regular Season,Rebounding,offensive
1630193,Immanuel Quickley,1610612761,TOR,31,11,20,870.0,16,2,14,0.125,42,0.381,1,0.39,2024-25,Regular Season,Rebounding,offensive
1642403,Isaac Jones,1610612758,SAC,26,9,17,245.0,22,15,7,0.682,60,0.367,2,0.379,2024-25,Regular Season,Rebounding,offensive
1630171,Isaac Okoro,1610612739,CLE,45,37,8,909.0,49,24,24,0.49,114,0.43,6,0.454,2024-25,Regular Season,Rebounding,offensive
1642268,Isaiah Collier,1610612762,UTA,67,13,54,1790.0,32,10,22,0.313,87,0.368,2,0.376,2024-25,Regular Season,Rebounding,offensive
1642384,Isaiah Crawford,1610612758,SAC,6,3,3,29.0,1,1,0,1.0,5,0.2,1,0.25,2024-25,Regular Season,Rebounding,offensive
1628392,Isaiah Hartenstein,1610612760,OKC,57,49,8,1590.0,163,112,50,0.687,437,0.373,15,0.386,2024-25,Regular Season,Rebounding,offensive
1630543,Isaiah Jackson,1610612754,IND,5,1,4,84.0,11,10,1,0.909,25,0.44,2,0.478,2024-25,Regular Season,Rebounding,offensive
1630198,Isaiah Joe,1610612760,OKC,67,58,9,1488.0,41,13,28,0.317,94,0.436,7,0.471,2024-25,Regular Season,Rebounding,offensive
1630600,Isaiah Mobley,1610612755,PHI,1,0,1,17.0,1,0,1,0.0,4,0.25,0,0.25,2024-25,Regular Season,Rebounding,offensive
1641815,Isaiah Stevens,1610612748,MIA,1,1,0,2.0,0,0,0,0.0,0,0.0,0,0.0,2024-25,Regular Season,Rebounding,offensive
1630191,Isaiah Stewart,1610612765,DET,71,38,33,1426.0,130,76,53,0.585,323,0.402,8,0.413,2024-25,Regular Season,Rebounding,offensive
1631209,Isaiah Wong,1610612766,CHA,14,2,12,198.0,14,5,9,0.357,35,0.4,0,0.4,2024-25,Regular Season,Rebounding,offensive
1627826,Ivica Zubac,1610612746,LAC,80,50,30,2624.0,300,234,60,0.78,586,0.512,12,0.523,2024-25,Regular Season,Rebounding,offensive
1631120,JD Davison,1610612738,BOS,8,6,2,65.0,2,0,2,0.0,5,0.4,0,0.4,2024-25,Regular Season,Rebounding,offensive
1630550,JT Thor,1610612764,WAS,14,6,8,227.0,20,14,6,0.7,32,0.625,0,0.625,2024-25,Regular Season,Rebounding,offensive
1629630,Ja Morant,1610612763,MEM,47,30,17,1434.0,34,14,20,0.412,121,0.281,6,0.296,2024-25,Regular Season,Rebounding,offensive
1642266,Ja'Kobe Walter,1610612761,TOR,47,18,29,1025.0,59,26,33,0.441,132,0.447,6,0.468,2024-25,Regular Season,Rebounding,offensive
1631095,Jabari Smith Jr.,1610612745,HOU,57,40,17,1716.0,105,57,48,0.543,241,0.436,8,0.451,2024-25,Regular Season,Rebounding,offensive
1631133,Jabari Walker,1610612757,POR,53,21,32,732.0,59,36,22,0.61,155,0.381,5,0.393,2024-25,Regular Season,Rebounding,offensive
1629098,Jack McVeigh,1610612745,HOU,3,1,2,22.0,2,1,1,0.5,4,0.5,0,0.5,2024-25,Regular Season,Rebounding,offensive
1642050,Jackson Rowe,1610612744,GSW,5,3,2,51.0,3,3,0,1.0,7,0.429,0,0.429,2024-25,Regular Season,Rebounding,offensive
1631210,Jacob Toppin,1610612737,ATL,10,8,2,61.0,3,2,1,0.667,12,0.25,1,0.273,2024-25,Regular Season,Rebounding,offensive
