season,season_type,player_id,player_name,team_id,team_abbreviation,games_played,minutes_per_game,fgm_per_game,fga_per_game,fg_pct,fg3m_per_game,fg3a_per_game,fg3_pct,ftm_per_game,fta_per_game,ft_pct,efg_pct
2024-25,Regular Season,1630639,A.J. Lawson,1610612761,TOR,26,18.7,3.1,7.3,0.421,1.3,3.9,0.327,1.7,2.4,0.683,
2024-25,Regular Season,1631260,AJ Green,1610612749,MIL,73,22.7,2.5,5.8,0.429,2.1,5.0,0.427,0.3,0.4,0.815,
2024-25,Regular Season,1642358,AJ Johnson,1610612764,WAS,29,22.0,2.8,7.3,0.385,0.8,3.1,0.267,1.1,1.3,0.865,
2024-25,Regular Season,203932,Aaron Gordon,1610612743,DEN,51,28.4,5.2,9.7,0.531,1.5,3.4,0.436,2.8,3.5,0.81,
2024-25,Regular Season,1628988,Aaron Holiday,1610612745,HOU,62,12.8,1.9,4.3,0.437,1.2,2.9,0.398,0.5,0.7,0.829,
2024-25,Regular Season,1630174,Aaron Nesmith,1610612754,IND,45,24.9,4.3,8.4,0.507,1.9,4.3,0.431,1.6,1.8,0.913,
2024-25,Regular Season,1630598,Aaron Wiggins,1610612760,OKC,76,22.9,4.7,9.6,0.488,1.7,4.5,0.383,1.0,1.2,0.831,
2024-25,Regular Season,1641745,Adam Flagler,1610612760,OKC,37,5.5,0.7,2.6,0.26,0.4,1.9,0.194,0.0,0.1,0.5,
2024-25,Regular Season,1641766,Adama Sanogo,1610612741,CHI,4,5.4,1.0,1.8,0.571,0.0,0.0,0.0,0.0,0.0,0.0,
2024-25,Regular Season,1641737,Adem Bona,1610612755,PHI,58,15.6,2.3,3.3,0.703,0.0,0.0,0.0,1.2,1.7,0.67,
2024-25,Regular Season,1642349,Ajay Mitchell,1610612760,OKC,36,16.6,2.5,5.1,0.495,0.6,1.7,0.383,0.8,1.0,0.829,
2024-25,Regular Season,201143,Al Horford,1610612738,BOS,60,27.6,3.3,7.7,0.423,1.9,5.2,0.363,0.6,0.6,0.895,
2024-25,Regular Season,202692,Alec Burks,1610612748,MIA,49,17.6,2.3,5.5,0.424,1.8,4.2,0.425,0.8,1.0,0.776,
2024-25,Regular Season,1627936,Alex Caruso,1610612760,OKC,54,19.3,2.6,5.8,0.446,1.1,3.1,0.353,0.8,0.9,0.824,
2024-25,Regular Season,1642505,Alex Ducas,1610612760,OKC,21,6.0,0.6,1.4,0.4,0.5,1.0,0.476,0.1,0.1,1.0,
2024-25,Regular Season,203458,Alex Len,1610612747,LAL,46,8.3,0.7,1.4,0.508,0.0,0.2,0.222,0.2,0.4,0.471,
2024-25,Regular Season,1642024,Alex Reese,1610612755,PHI,15,14.4,1.7,3.6,0.481,1.0,2.7,0.366,0.6,0.8,0.75,
2024-25,Regular Season,1642259,Alex Sarr,1610612764,WAS,67,27.1,4.9,12.4,0.394,1.6,5.1,0.308,1.7,2.5,0.679,
2024-25,Regular Season,1631214,Alondes Williams,1610612746,LAC,1,3.7,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
2024-25,Regular Season,1630578,Alperen Sengun,1610612745,HOU,76,31.5,7.5,15.0,0.496,0.3,1.2,0.233,3.9,5.6,0.692,
2024-25,Regular Season,1641708,Amen Thompson,1610612745,HOU,69,32.3,5.6,10.1,0.557,0.4,1.3,0.275,2.4,3.6,0.684,
2024-25,Regular Season,1629599,Amir Coffey,1610612746,LAC,72,24.3,3.3,7.1,0.471,1.4,3.4,0.409,1.6,1.8,0.891,
2024-25,Regular Season,203083,Andre Drummond,1610612755,PHI,40,18.8,2.9,5.9,0.5,0.1,0.5,0.15,1.4,2.3,0.622,
2024-25,Regular Season,1641748,Andre Jackson Jr.,1610612749,MIL,67,14.6,1.4,2.9,0.477,0.4,1.1,0.395,0.2,0.4,0.5,
2024-25,Regular Season,1629614,Andrew Nembhard,1610612754,IND,65,28.9,3.8,8.3,0.458,0.8,2.7,0.291,1.7,2.1,0.794,
2024-25,Regular Season,203952,Andrew Wiggins,1610612748,MIA,60,30.7,6.3,14.0,0.448,2.2,5.8,0.374,3.3,4.3,0.763,
2024-25,Regular Season,1629014,Anfernee Simons,1610612757,POR,70,32.7,6.8,16.1,0.426,3.1,8.5,0.363,2.5,2.8,0.902,
2024-25,Regular Season,1641710,Anthony Black,1610612753,ORL,78,24.2,3.4,7.9,0.423,0.8,2.5,0.318,1.9,2.5,0.761,
2024-25,Regular Season,203076,Anthony Davis,1610612742,DAL,51,33.4,9.2,17.8,0.516,0.7,2.4,0.282,5.6,7.2,0.775,
2024-25,Regular Season,1630162,Anthony Edwards,1610612750,MIN,79,36.3,9.1,20.4,0.447,4.1,10.3,0.395,5.3,6.3,0.837,
2024-25,Regular Season,1630264,Anthony Gill,1610612764,WAS,51,7.8,0.8,1.7,0.489,0.2,0.6,0.323,0.6,1.0,0.66,
2024-25,Regular Season,1641817,Anton Watson,1610612752,NYK,9,2.5,0.4,1.0,0.444,0.0,0.1,0.0,0.0,0.0,0.0,
2024-25,Regular Season,1641810,Antonio Reeves,1610612740,NOP,44,15.0,2.6,5.6,0.456,1.2,2.9,0.395,0.6,0.8,0.8,
2024-25,Regular Season,1630574,Ariel Hukporti,1610612752,NYK,25,8.7,0.8,1.2,0.677,0.0,0.0,0.0,0.2,0.5,0.462,
2024-25,Regular Season,1642422,Armel Traore,1610612747,LAL,9,7.4,0.7,2.1,0.316,0.0,0.8,0.0,0.2,0.8,0.286,
2024-25,Regular Season,1641709,Ausar Thompson,1610612765,DET,59,22.5,4.2,7.8,0.535,0.2,0.8,0.224,1.5,2.4,0.641,
2024-25,Regular Season,1630559,Austin Reaves,1610612747,LAL,73,34.9,6.5,14.2,0.46,2.7,7.3,0.377,4.4,5.0,0.877,
2024-25,Regular Season,1630245,Ayo Dosunmu,1610612741,CHI,46,30.3,4.8,9.8,0.492,1.3,4.1,0.328,1.3,1.7,0.785,
2024-25,Regular Season,1628389,Bam Adebayo,1610612748,MIA,78,34.3,6.9,14.3,0.485,1.0,2.8,0.357,3.2,4.2,0.765,
2024-25,Regular Season,1631248,Baylor Scheierman,1610612738,BOS,31,12.4,1.3,3.5,0.355,0.8,2.6,0.317,0.3,0.4,0.75,
2024-25,Regular Season,1641767,Ben Sheppard,1610612754,IND,63,19.5,1.9,4.6,0.418,1.1,3.2,0.342,0.4,0.4,0.889,
2024-25,Regular Season,1627732,Ben Simmons,1610612746,LAC,51,22.0,2.3,4.4,0.52,0.0,0.0,0.0,0.5,0.6,0.727,
2024-25,Regular Season,1631097,Bennedict Mathurin,1610612754,IND,72,29.9,5.4,11.8,0.458,1.4,4.0,0.34,3.8,4.6,0.831,
2024-25,Regular Season,1641731,Bilal Coulibaly,1610612764,WAS,59,33.0,4.5,10.6,0.421,1.1,3.8,0.281,2.3,3.1,0.746,
2024-25,Regular Season,202687,Bismack Biyombo,1610612759,SAS,28,18.8,2.4,4.1,0.588,0.0,0.0,0.0,0.4,0.9,0.4,
2024-25,Regular Season,1631104,Blake Wesley,1610612759,SAS,58,11.8,1.4,3.2,0.435,0.3,1.0,0.293,0.7,1.1,0.623,
2024-25,Regular Season,1626171,Bobby Portis,1610612749,MIL,49,25.4,5.7,12.1,0.466,1.3,3.6,0.365,1.2,1.5,0.836,
2024-25,Regular Season,1641752,Bobi Klintman,1610612765,DET,8,5.3,0.8,1.3,0.6,0.3,0.6,0.4,0.1,0.3,0.5,
2024-25,Regular Season,203992,Bogdan Bogdanović,1610612746,LAC,54,25.0,3.9,9.1,0.427,1.9,5.4,0.363,1.1,1.2,0.879,
2024-25,Regular Season,1629626,Bol Bol,1610612756,PHX,36,12.5,2.7,5.1,0.525,0.9,2.6,0.344,0.6,0.7,0.769,
2024-25,Regular Season,1630538,Bones Hyland,1610612750,MIN,24,9.9,2.0,4.9,0.398,1.3,3.4,0.39,1.0,1.1,0.885,
2024-25,Regular Season,203078,Bradley Beal,1610612756,PHX,53,32.1,6.5,13.1,0.497,1.9,5.0,0.386,2.1,2.6,0.803,
2024-25,Regular Season,1642382,Branden Carlson,1610612760,OKC,32,7.7,1.3,3.0,0.443,0.7,2.1,0.333,0.4,0.6,0.778,
2024-25,Regular Season,1641764,Brandin Podziemski,1610612744,GSW,64,26.8,4.4,9.8,0.445,1.8,4.8,0.372,1.1,1.5,0.758,
2024-25,Regular Season,1630527,Brandon Boston,1610612740,NOP,42,23.6,4.0,9.1,0.436,1.2,3.3,0.35,1.6,2.0,0.788,
2024-25,Regular Season,1629634,Brandon Clarke,1610612763,MEM,64,18.9,3.7,5.9,0.621,0.0,0.3,0.059,1.0,1.4,0.701,
2024-25,Regular Season,1627742,Brandon Ingram,1610612761,TOR,18,33.1,8.6,18.5,0.465,2.4,6.4,0.374,2.6,3.1,0.855,
2024-25,Regular Season,1641706,Brandon Miller,1610612766,CHA,27,34.2,7.3,18.2,0.403,3.9,10.9,0.355,2.5,2.9,0.861,
2024-25,Regular Season,1630314,Brandon Williams,1610612742,DAL,33,14.8,3.0,5.7,0.521,0.7,1.8,0.4,1.7,2.0,0.833,
2024-25,Regular Season,1630296,Braxton Key,1610612744,GSW,3,3.6,0.0,1.3,0.0,0.0,0.3,0.0,1.0,2.0,0.5,
2024-25,Regular Season,1641729,Brice Sensabaugh,1610612762,UTA,71,20.2,3.9,8.4,0.459,2.2,5.2,0.422,0.9,1.0,0.89,
2024-25,Regular Season,1642355,Bronny James,1610612747,LAL,27,6.7,0.8,2.5,0.313,0.3,1.2,0.281,0.4,0.5,0.786,
2024-25,Regular Season,201572,Brook Lopez,1610612749,MIL,80,31.8,4.9,9.7,0.509,1.7,4.7,0.373,1.4,1.7,0.826,
2024-25,Regular Season,1628971,Bruce Brown,1610612740,NOP,41,22.5,3.2,7.5,0.421,0.7,2.0,0.333,1.3,1.6,0.815,
2024-25,Regular Season,1628981,Bruno Fernando,1610612761,TOR,17,8.6,1.5,2.9,0.531,0.0,0.0,0.0,0.4,0.5,0.75,
2024-25,Regular Season,1631121,Bryce McGowens,1610612757,POR,13,2.5,0.3,1.1,0.286,0.0,0.3,0.0,0.4,0.5,0.833,
2024-25,Regular Season,1642267,Bub Carrington,1610612764,WAS,82,30.0,3.7,9.1,0.401,1.7,5.0,0.339,0.8,1.0,0.812,
2024-25,Regular Season,1627741,Buddy Hield,1610612744,GSW,82,22.7,4.0,9.6,0.417,2.5,6.7,0.37,0.6,0.8,0.828,
2024-25,Regular Season,203468,CJ McCollum,1610612740,NOP,56,32.7,7.9,17.9,0.444,3.1,8.2,0.373,2.2,3.1,0.717,
2024-25,Regular Season,1630595,Cade Cunningham,1610612765,DET,70,35.0,9.8,20.8,0.469,2.1,6.0,0.356,4.5,5.3,0.846,
2024-25,Regular Season,1631216,Caleb Houstan,1610612753,ORL,58,13.6,1.4,3.3,0.421,1.1,2.8,0.4,0.3,0.3,0.882,
2024-25,Regular Season,1628997,Caleb Martin,1610612742,DAL,45,27.1,2.9,6.8,0.424,0.8,2.3,0.359,1.4,2.2,0.622,
2024-25,Regular Season,1642353,Cam Christie,1610612746,LAC,13,4.5,0.5,1.8,0.292,0.2,1.0,0.154,0.2,0.3,0.5,
2024-25,Regular Season,1629629,Cam Reddish,1610612747,LAL,33,17.9,1.2,2.8,0.404,0.4,1.4,0.277,0.5,0.8,0.615,
2024-25,Regular Season,1642285,Cam Spencer,1610612763,MEM,25,10.1,1.4,3.3,0.415,0.8,2.1,0.365,0.8,0.8,1.0,
2024-25,Regular Season,1630560,Cam Thomas,1610612751,BKN,25,31.2,8.0,18.2,0.438,2.7,7.8,0.349,5.3,6.0,0.881,
2024-25,Regular Season,1641715,Cam Whitmore,1610612745,HOU,51,16.2,3.5,7.9,0.444,1.3,3.6,0.355,1.1,1.4,0.75,
