PLAYER_ID,PLAYER_NAME,POSITION,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,SEASON_TYPE
1631232,Keion Brooks Jr.,SF,1610612740,NOP,24.0,6-7,79,210.0,Washington,USA,Undrafted,Undrafted,Undrafted,14,10.1,4.1,0.9,-20.5,0.034,0.136,0.169,0.581,0.062,2024-25,Regular Season
1642276,Kel'el Ware,C,1610612748,MIA,21.0,7-0,84,230.0,Indiana,USA,2024,1,15,64,9.3,7.4,0.9,1.9,0.087,0.238,0.169,0.603,0.062,2024-25,Regular Season
1629640,Keldon Johnson,SF,1610612759,SAS,25.0,6-5,77,220.0,Kentucky,USA,2019,1,29,77,12.7,4.8,1.6,-5.8,0.057,0.136,0.207,0.572,0.105,2024-25,Regular Season
203482,Kelly Olynyk,C,1610612740,NOP,34.0,6-11,83,240.0,Gonzaga,Canada,2013,1,13,44,8.7,4.7,2.9,-2.7,0.069,0.154,0.185,0.609,0.2,2024-25,Regular Season
1626162,Kelly Oubre Jr.,SF,1610612755,PHI,29.0,6-8,80,203.0,Kansas,USA,2015,1,15,60,15.1,6.1,1.8,-5.7,0.046,0.14,0.186,0.551,0.079,2024-25,Regular Season
1629026,Kenrich Williams,PF,1610612760,OKC,30.0,6-6,78,210.0,TCU,USA,Undrafted,Undrafted,Undrafted,69,6.3,3.5,1.4,14.5,0.056,0.148,0.151,0.587,0.111,2024-25,Regular Season
203484,Kentavious Caldwell-Pope,SG,1610612763,MEM,32.0,6-5,77,204.0,Georgia,USA,2013,1,8,77,8.7,2.2,1.8,0.5,0.014,0.064,0.121,0.574,0.086,2024-25,Regular Season
1631165,Keon Ellis,SG,1610612758,SAC,25.0,6-4,76,175.0,Alabama,USA,Undrafted,Undrafted,Undrafted,80,8.3,2.7,1.5,3.0,0.031,0.079,0.125,0.664,0.08,2024-25,Regular Season
1630553,Keon Johnson,SG,1610612751,BKN,23.0,6-5,77,185.0,Tennessee,USA,2021,1,21,79,10.6,3.8,2.2,-10.3,0.031,0.125,0.212,0.499,0.148,2024-25,Regular Season
1642352,Keshad Johnson,SF,1610612748,MIA,24.0,6-7,79,225.0,Arizona,USA,Undrafted,Undrafted,Undrafted,16,2.7,1.8,0.3,1.3,0.067,0.188,0.145,0.718,0.058,2024-25,Regular Season
1630556,Kessler Edwards,SF,1610612742,DAL,24.0,6-7,79,203.0,Pepperdine,USA,2021,2,44,40,4.2,2.9,1.1,-12.3,0.037,0.154,0.11,0.597,0.09,2024-25,Regular Season
201142,Kevin Durant,PF,1610612756,PHX,36.0,6-11,83,240.0,Texas,USA,2007,1,2,62,26.6,6.0,4.2,-1.0,0.011,0.147,0.283,0.642,0.188,2024-25,Regular Season
1628989,Kevin Huerter,SG,1610612741,CHI,26.0,6-7,79,198.0,Maryland,USA,2018,1,19,69,9.9,3.0,2.3,2.8,0.017,0.098,0.171,0.544,0.124,2024-25,Regular Season
1628995,Kevin Knox II,PF,1610612744,GSW,25.0,6-8,80,215.0,Kentucky,USA,2018,1,9,14,3.3,1.2,0.4,-2.9,0.069,0.149,0.202,0.582,0.086,2024-25,Regular Season
201567,Kevin Love,PF,1610612748,MIA,36.0,6-8,80,251.0,UCLA,USA,2008,1,5,23,5.3,4.1,1.0,-3.6,0.08,0.282,0.23,0.488,0.134,2024-25,Regular Season
1641755,Kevin McCullar Jr.,SF,1610612752,NYK,24.0,6-6,78,210.0,Kansas,USA,2024,2,56,4,1.5,2.0,0.5,-3.1,0.0,0.286,0.118,0.381,0.111,2024-25,Regular Season
