PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1631257,Jermaine Samuels Jr.,1610612745,HOU,14,8,6,60.0,0,2,0.0,0,0.0,2.0,0.0,0.0,2023-24,Regular Season,CatchShoot
1629010,Jerome Robinson,1610612744,GSW,22,17,5,81.0,2,15,0.133,6,2.0,15.0,0.133,0.2,2023-24,Regular Season,CatchShoot
1641724,Jett Howard,1610612753,ORL,18,9,9,67.0,5,14,0.357,15,5.0,14.0,0.357,0.536,2023-24,Regular Season,CatchShoot
1628975,Jevon Carter,1610612741,CHI,72,35,37,1004.0,55,149,0.369,162,52.0,145.0,0.359,0.544,2023-24,Regular Season,CatchShoot
202710,Jimmy Butler III,1610612748,MIA,60,33,27,2042.0,45,102,0.441,123,33.0,81.0,0.407,0.603,2023-24,Regular Season,CatchShoot
1629111,Jock Landale,1610612745,HOU,56,28,28,763.0,26,66,0.394,62,10.0,39.0,0.256,0.47,2023-24,Regular Season,CatchShoot
203925,Joe Harris,1610612765,DET,16,4,12,170.0,10,28,0.357,30,10.0,28.0,0.357,0.536,2023-24,Regular Season,CatchShoot
204060,Joe Ingles,1610612753,ORL,68,42,26,1169.0,57,107,0.533,171,57.0,107.0,0.533,0.799,2023-24,Regular Season,CatchShoot
203954,Joel Embiid,1610612755,PHI,39,31,8,1309.0,69,127,0.543,174,36.0,65.0,0.554,0.685,2023-24,Regular Season,CatchShoot
1628381,John Collins,1610612762,UTA,68,27,41,1901.0,91,241,0.378,267,85.0,226.0,0.376,0.554,2023-24,Regular Season,CatchShoot
1629723,John Konchar,1610612763,MEM,55,18,37,1174.0,38,108,0.352,114,38.0,108.0,0.352,0.528,2023-24,Regular Season,CatchShoot
