PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_UNCONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE,REBOUNDING_SCOPE
1630639,A.J. Lawson,1610612742,DAL,24,15,9,248.0,36,8,28,0.222,64,0.563,7,0.632,2023-24,Regular Season,Rebounding,defensive
1631260,AJ Green,1610612749,MIL,33,18,15,440.0,55,6,48,0.109,95,0.579,6,0.618,2023-24,Regular Season,Rebounding,defensive
1631100,AJ Griffin,1610612737,ATL,9,2,7,89.0,16,1,15,0.063,20,0.8,1,0.842,2023-24,Regular Season,Rebounding,defensive
203932,Aaron Gordon,1610612743,DEN,71,47,24,2244.0,292,81,210,0.277,431,0.677,26,0.721,2023-24,Regular Season,Rebounding,defensive
1628988,Aaron Holiday,1610612745,HOU,59,29,30,1051.0,100,11,90,0.11,173,0.578,22,0.662,2023-24,Regular Season,Rebounding,defensive
1630174,Aaron Nesmith,1610612754,IND,72,41,31,1995.0,212,52,155,0.245,408,0.52,49,0.591,2023-24,Regular Season,Rebounding,defensive
1630598,Aaron Wiggins,1610612760,OKC,67,46,21,1119.0,126,35,90,0.278,250,0.504,32,0.578,2023-24,Regular Season,Rebounding,defensive
1641766,Adama Sanogo,1610612741,CHI,7,3,4,64.0,17,4,13,0.235,22,0.773,1,0.81,2023-24,Regular Season,Rebounding,defensive
1629678,Admiral Schofield,1610612753,ORL,12,7,5,54.0,13,2,9,0.154,16,0.813,0,0.813,2023-24,Regular Season,Rebounding,defensive
201143,Al Horford,1610612738,BOS,64,50,14,1708.0,322,76,245,0.236,497,0.648,43,0.709,2023-24,Regular Season,Rebounding,defensive
202692,Alec Burks,1610612752,NYK,58,14,44,1086.0,126,21,105,0.167,214,0.589,21,0.653,2023-24,Regular Season,Rebounding,defensive
1630197,Aleksej Pokusevski,1610612766,CHA,24,11,13,387.0,70,17,52,0.243,115,0.609,8,0.654,2023-24,Regular Season,Rebounding,defensive
1627936,Alex Caruso,1610612741,CHI,67,33,34,1950.0,209,38,166,0.182,385,0.543,40,0.606,2023-24,Regular Season,Rebounding,defensive
1641788,Alex Fudge,1610612742,DAL,4,1,3,34.0,1,0,1,0.0,2,0.5,0,0.5,2023-24,Regular Season,Rebounding,defensive
203458,Alex Len,1610612758,SAC,39,21,18,401.0,82,25,55,0.305,139,0.59,16,0.667,2023-24,Regular Season,Rebounding,defensive
1631214,Alondes Williams,1610612748,MIA,1,1,0,6.0,1,0,1,0.0,1,1.0,0,1.0,2023-24,Regular Season,Rebounding,defensive
1630578,Alperen Sengun,1610612745,HOU,63,29,34,2046.0,406,112,282,0.276,692,0.587,79,0.662,2023-24,Regular Season,Rebounding,defensive
1641735,Amari Bailey,1610612766,CHA,3,1,2,37.0,3,0,3,0.0,6,0.5,1,0.6,2023-24,Regular Season,Rebounding,defensive
1641708,Amen Thompson,1610612745,HOU,60,28,32,1370.0,260,60,192,0.231,361,0.72,20,0.762,2023-24,Regular Season,Rebounding,defensive
1629599,Amir Coffey,1610612746,LAC,55,34,21,1278.0,117,19,97,0.162,197,0.594,15,0.643,2023-24,Regular Season,Rebounding,defensive
203083,Andre Drummond,1610612741,CHI,76,35,41,1311.0,431,135,284,0.313,592,0.728,29,0.766,2023-24,Regular Season,Rebounding,defensive
1641748,Andre Jackson Jr.,1610612749,MIL,42,23,19,518.0,70,14,54,0.2,112,0.625,13,0.707,2023-24,Regular Season,Rebounding,defensive
1629614,Andrew Nembhard,1610612754,IND,55,35,20,1442.0,105,16,89,0.152,203,0.517,21,0.577,2023-24,Regular Season,Rebounding,defensive
203952,Andrew Wiggins,1610612744,GSW,67,37,30,1790.0,204,52,150,0.255,354,0.576,37,0.644,2023-24,Regular Season,Rebounding,defensive
1629014,Anfernee Simons,1610612757,POR,44,10,34,1518.0,143,19,125,0.133,222,0.644,12,0.681,2023-24,Regular Season,Rebounding,defensive
1641710,Anthony Black,1610612753,ORL,46,24,22,943.0,105,14,89,0.133,167,0.629,12,0.677,2023-24,Regular Season,Rebounding,defensive
203076,Anthony Davis,1610612747,LAL,74,43,31,2624.0,702,243,454,0.346,1044,0.672,71,0.721,2023-24,Regular Season,Rebounding,defensive
1630162,Anthony Edwards,1610612750,MIN,78,53,25,2767.0,378,71,307,0.188,587,0.644,54,0.709,2023-24,Regular Season,Rebounding,defensive
1630264,Anthony Gill,1610612764,WAS,34,3,31,425.0,57,14,43,0.246,114,0.5,13,0.564,2023-24,Regular Season,Rebounding,defensive
1629717,Armoni Brooks,1610612751,BKN,8,3,5,99.0,11,3,8,0.273,18,0.611,0,0.611,2023-24,Regular Season,Rebounding,defensive
1630204,Ashton Hagans,1610612757,POR,16,3,13,296.0,31,6,24,0.194,48,0.646,3,0.689,2023-24,Regular Season,Rebounding,defensive
1641709,Ausar Thompson,1610612765,DET,62,10,52,1572.0,272,57,212,0.21,411,0.662,25,0.705,2023-24,Regular Season,Rebounding,defensive
1630559,Austin Reaves,1610612747,LAL,76,43,33,2441.0,288,35,250,0.122,479,0.601,37,0.652,2023-24,Regular Season,Rebounding,defensive
1630245,Ayo Dosunmu,1610612741,CHI,67,34,33,1991.0,157,22,132,0.14,290,0.541,34,0.613,2023-24,Regular Season,Rebounding,defensive
1628389,Bam Adebayo,1610612748,MIA,70,40,30,2380.0,570,156,405,0.274,859,0.664,66,0.719,2023-24,Regular Season,Rebounding,defensive
1641767,Ben Sheppard,1610612754,IND,36,22,14,650.0,74,11,61,0.149,119,0.622,14,0.705,2023-24,Regular Season,Rebounding,defensive
1627732,Ben Simmons,1610612751,BKN,15,7,8,359.0,88,15,70,0.17,124,0.71,10,0.772,2023-24,Regular Season,Rebounding,defensive
1631097,Bennedict Mathurin,1610612754,IND,53,29,24,1407.0,174,32,142,0.184,279,0.624,21,0.674,2023-24,Regular Season,Rebounding,defensive
1641731,Bilal Coulibaly,1610612764,WAS,60,10,50,1662.0,199,38,152,0.191,334,0.596,29,0.652,2023-24,Regular Season,Rebounding,defensive
202687,Bismack Biyombo,1610612760,OKC,35,19,16,774.0,147,35,105,0.238,266,0.553,28,0.618,2023-24,Regular Season,Rebounding,defensive
1631104,Blake Wesley,1610612759,SAS,45,15,30,708.0,69,8,61,0.116,115,0.6,8,0.645,2023-24,Regular Season,Rebounding,defensive
1626246,Boban Marjanovic,1610612745,HOU,10,7,3,59.0,25,13,11,0.52,31,0.806,0,0.806,2023-24,Regular Season,Rebounding,defensive
1626171,Bobby Portis,1610612749,MIL,82,49,33,2008.0,465,103,359,0.222,688,0.676,52,0.731,2023-24,Regular Season,Rebounding,defensive
203992,Bogdan Bogdanović,1610612737,ATL,78,35,43,2369.0,219,45,171,0.205,391,0.56,42,0.628,2023-24,Regular Season,Rebounding,defensive
202711,Bojan Bogdanovic,1610612752,NYK,52,16,36,1397.0,130,26,103,0.2,218,0.596,27,0.681,2023-24,Regular Season,Rebounding,defensive
1629626,Bol Bol,1610612756,PHX,34,22,12,438.0,100,18,79,0.18,135,0.741,8,0.787,2023-24,Regular Season,Rebounding,defensive
1630538,Bones Hyland,1610612746,LAC,23,10,13,402.0,48,10,38,0.208,77,0.623,9,0.706,2023-24,Regular Season,Rebounding,defensive
203078,Bradley Beal,1610612756,PHX,50,32,18,1688.0,170,39,127,0.229,313,0.543,40,0.623,2023-24,Regular Season,Rebounding,defensive
1641764,Brandin Podziemski,1610612744,GSW,71,40,31,1909.0,304,44,257,0.145,478,0.636,56,0.72,2023-24,Regular Season,Rebounding,defensive
1630527,Brandon Boston,1610612746,LAC,17,8,9,289.0,31,7,24,0.226,56,0.554,3,0.585,2023-24,Regular Season,Rebounding,defensive
1629634,Brandon Clarke,1610612763,MEM,6,2,4,134.0,19,5,14,0.263,34,0.559,3,0.613,2023-24,Regular Season,Rebounding,defensive
1627742,Brandon Ingram,1610612740,NOP,63,38,25,2071.0,279,55,223,0.197,451,0.619,40,0.679,2023-24,Regular Season,Rebounding,defensive
1641706,Brandon Miller,1610612766,CHA,72,16,56,2315.0,248,54,191,0.218,444,0.559,54,0.636,2023-24,Regular Season,Rebounding,defensive
1630314,Brandon Williams,1610612742,DAL,7,2,5,74.0,9,1,8,0.111,14,0.643,2,0.75,2023-24,Regular Season,Rebounding,defensive
1630296,Braxton Key,1610612743,DEN,12,9,3,44.0,14,7,7,0.5,20,0.7,2,0.778,2023-24,Regular Season,Rebounding,defensive
1641729,Brice Sensabaugh,1610612762,UTA,26,6,20,518.0,85,11,74,0.129,129,0.659,14,0.739,2023-24,Regular Season,Rebounding,defensive
