PLAYER_ID,PLAYER_NAME,POSITION,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,SEASON_TYPE
1630639,A.J. Lawson,SG,1610612742,DAL,23.0,6-6,78,179,South Carolina,Canada,Undrafted,Undrafted,Undrafted,42,3.2,1.2,0.5,1.2,0.039,0.105,0.18,0.519,0.089,2023-24,Regular Season
1631260,AJ Green,SG,1610612749,MIL,24.0,6-4,76,190,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,56,4.5,1.1,0.5,3.5,0.015,0.089,0.15,0.617,0.068,2023-24,Regular Season
1631100,AJ Griffin,SF,1610612737,ATL,20.0,6-6,78,220,Duke,USA,2022,1,16,20,2.4,0.9,0.3,-14.0,0.011,0.108,0.167,0.382,0.041,2023-24,Regular Season
203932,Aaron Gordon,PF,1610612743,DEN,28.0,6-8,80,235,Arizona,USA,2014,1,4,73,13.9,6.5,3.5,8.7,0.078,0.129,0.174,0.607,0.147,2023-24,Regular Season
1628988,Aaron Holiday,PG,1610612745,HOU,27.0,6-0,72,185,UCLA,USA,2018,1,23,78,6.6,1.6,1.8,2.9,0.017,0.075,0.158,0.578,0.157,2023-24,Regular Season
1630174,Aaron Nesmith,SF,1610612754,IND,24.0,6-6,78,215,Vanderbilt,USA,2020,1,14,72,12.2,3.8,1.5,4.3,0.032,0.103,0.158,0.631,0.067,2023-24,Regular Season
1630598,Aaron Wiggins,SG,1610612760,OKC,25.0,6-5,77,190,Maryland,USA,2021,2,55,78,6.9,2.4,1.1,5.7,0.052,0.095,0.163,0.664,0.096,2023-24,Regular Season
1641745,Adam Flagler,SG,1610612760,OKC,24.0,6-3,75,180,Baylor,USA,Undrafted,Undrafted,Undrafted,2,1.5,0.0,2.0,0.0,0.0,0.0,0.212,0.214,0.364,2023-24,Regular Season
1641766,Adama Sanogo,PF,1610612741,CHI,22.0,6-9,81,245,UCONN,Mali,Undrafted,Undrafted,Undrafted,9,4.0,4.0,0.0,21.7,0.253,0.266,0.21,0.558,0.0,2023-24,Regular Season
1629678,Admiral Schofield,PF,1610612753,ORL,27.0,6-5,77,241,Tennessee,United Kingdom,2019,2,42,23,1.1,0.7,0.3,-5.2,0.035,0.149,0.167,0.484,0.163,2023-24,Regular Season
201143,Al Horford,C,1610612738,BOS,38.0,6-9,81,240,Florida,Dominican Republic,2007,1,3,65,8.6,6.4,2.6,11.4,0.048,0.178,0.119,0.65,0.124,2023-24,Regular Season
202692,Alec Burks,SG,1610612752,NYK,32.0,6-5,77,214,Colorado,USA,2011,1,12,66,10.4,2.3,1.3,-10.7,0.019,0.103,0.234,0.536,0.115,2023-24,Regular Season
1630197,Aleksej Pokusevski,PF,1610612766,CHA,22.0,7-0,84,210,,Serbia,2020,1,17,28,5.2,3.2,1.3,-9.7,0.042,0.173,0.172,0.525,0.132,2023-24,Regular Season
1627936,Alex Caruso,SG,1610612741,CHI,30.0,6-5,77,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,71,10.1,3.8,3.5,0.3,0.031,0.103,0.146,0.613,0.167,2023-24,Regular Season
