PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,FT_AST,SECONDARY_AST,POTENTIAL_AST,AST_PTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612761,TOR,19,9,10,182.0,140,129,6,2,0,17,17,8,0.043,0.057,2025-26,Regular Season,Passing
1631260,AJ Green,1610612749,MIL,73,29,44,2097.0,2457,1972,143,12,27,244,387,182,0.058,0.074,2025-26,Regular Season,Passing
1642358,AJ Johnson,1610612742,DAL,44,8,36,386.0,396,455,41,1,4,74,101,47,0.104,0.119,2025-26,Regular Season,Passing
203932,Aaron Gordon,1610612743,DEN,33,24,9,910.0,1052,1072,82,10,9,150,222,100,0.078,0.095,2025-26,Regular Season,Passing
1628988,Aaron Holiday,1610612745,HOU,52,34,18,698.0,718,812,53,6,10,103,142,69,0.074,0.096,2025-26,Regular Season,Passing
1630174,Aaron Nesmith,1610612754,IND,45,10,35,1335.0,1561,1549,86,9,17,151,231,113,0.055,0.072,2025-26,Regular Season,Passing
1630598,Aaron Wiggins,1610612760,OKC,60,47,13,1330.0,1373,1440,100,13,23,200,267,136,0.073,0.099,2025-26,Regular Season,Passing
1642846,Ace Bailey,1610612762,UTA,69,18,51,1896.0,1262,1638,126,13,20,231,337,158,0.1,0.125,2025-26,Regular Season,Passing
1642380,Adama Bal,1610612763,MEM,4,1,3,102.0,83,85,8,0,0,11,18,8,0.096,0.096,2025-26,Regular Season,Passing
1641737,Adem Bona,1610612755,PHI,67,39,28,1160.0,822,544,29,3,6,54,81,38,0.035,0.046,2025-26,Regular Season,Passing
1642876,Adou Thiero,1610612747,LAL,21,12,9,108.0,102,63,6,0,0,12,18,6,0.059,0.059,2025-26,Regular Season,Passing
1642349,Ajay Mitchell,1610612760,OKC,54,47,7,1408.0,1672,1964,193,16,32,369,506,241,0.115,0.144,2025-26,Regular Season,Passing
201143,Al Horford,1610612744,GSW,43,22,21,933.0,1507,1303,112,6,29,217,294,146,0.074,0.097,2025-26,Regular Season,Passing
1630828,Alex Antetokounmpo,1610612749,MIL,3,1,2,11.0,4,8,0,0,0,0,0,0,0.0,0.0,2025-26,Regular Season,Passing
1627936,Alex Caruso,1610612760,OKC,53,44,9,984.0,1200,997,108,6,12,166,271,126,0.09,0.105,2025-26,Regular Season,Passing
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,11,9,4,0,0,3,10,4,0.364,0.364,2025-26,Regular Season,Passing
1642259,Alex Sarr,1610612764,WAS,48,11,37,1305.0,1876,1703,130,11,17,217,356,158,0.069,0.084,2025-26,Regular Season,Passing
1642918,Alijah Martin,1610612761,TOR,20,9,11,130.0,118,118,10,1,0,17,24,11,0.085,0.093,2025-26,Regular Season,Passing
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,76,67,12,0,3,15,28,15,0.158,0.197,2025-26,Regular Season,Passing
1630578,Alperen Sengun,1610612745,HOU,68,43,25,2271.0,3257,3600,420,39,39,753,1078,498,0.129,0.153,2025-26,Regular Season,Passing
1642873,Amari Williams,1610612738,BOS,21,14,7,136.0,131,107,9,0,1,16,25,10,0.069,0.076,2025-26,Regular Season,Passing
1641708,Amen Thompson,1610612745,HOU,75,46,29,2795.0,3945,4039,394,28,68,720,1038,489,0.1,0.124,2025-26,Regular Season,Passing
1629599,Amir Coffey,1610612756,PHX,43,18,25,437.0,287,254,24,0,2,39,64,26,0.084,0.091,2025-26,Regular Season,Passing
1643158,Andersson Garcia,1610612762,UTA,5,1,4,169.0,166,99,14,1,3,21,37,18,0.084,0.108,2025-26,Regular Season,Passing
203083,Andre Drummond,1610612755,PHI,58,31,27,1123.0,886,679,68,2,10,90,161,79,0.077,0.089,2025-26,Regular Season,Passing
1641748,Andre Jackson Jr.,1610612749,MIL,44,11,33,342.0,574,475,38,4,3,68,110,45,0.066,0.078,2025-26,Regular Season,Passing
1629614,Andrew Nembhard,1610612754,IND,57,13,44,1786.0,3842,4377,437,36,54,753,1134,527,0.114,0.137,2025-26,Regular Season,Passing
203952,Andrew Wiggins,1610612748,MIA,63,32,31,1934.0,1803,1902,169,11,42,294,440,222,0.094,0.123,2025-26,Regular Season,Passing
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,1631,2015,134,6,28,256,355,168,0.082,0.103,2025-26,Regular Season,Passing
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,2422,2699,229,24,30,388,582,280,0.095,0.116,2025-26,Regular Season,Passing
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,743,744,56,2,5,85,133,63,0.075,0.085,2025-26,Regular Season,Passing
