PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
203083,Andre Drummond,1610612755,PHI,58,31,27,1123.0,1288,278,96,182,0.527,21,38,0.553,217,0.781,54,0.194,11,0.04,16,0.058,17,0.061,2025-26,Regular Season,PaintTouch
1641748,Andre Jackson Jr.,1610612749,MIL,44,11,33,342.0,717,42,7,16,0.438,2,2,1.0,16,0.381,21,0.5,2,0.048,2,0.048,1,0.024,2025-26,Regular Season,PaintTouch
1629614,Andrew Nembhard,1610612754,IND,57,13,44,1786.0,4984,33,12,19,0.632,0,0,0.0,24,0.727,11,0.333,2,0.061,1,0.03,0,0.0,2025-26,Regular Season,PaintTouch
203952,Andrew Wiggins,1610612748,MIA,63,32,31,1934.0,2783,145,61,99,0.616,7,10,0.7,135,0.931,32,0.221,7,0.048,6,0.041,5,0.034,2025-26,Regular Season,PaintTouch
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,2456,22,6,8,0.75,0,0,0.0,13,0.591,13,0.591,0,0.0,1,0.045,0,0.0,2025-26,Regular Season,PaintTouch
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,3507,93,43,59,0.729,9,10,0.9,97,1.043,23,0.247,6,0.065,4,0.043,5,0.054,2025-26,Regular Season,PaintTouch
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,1187,156,76,113,0.673,20,28,0.714,175,1.122,12,0.077,5,0.032,11,0.071,14,0.09,2025-26,Regular Season,PaintTouch
1630162,Anthony Edwards,1610612750,MIN,60,36,24,2109.0,4373,52,18,35,0.514,9,10,0.9,43,0.827,8,0.154,3,0.058,2,0.038,5,0.096,2025-26,Regular Season,PaintTouch
1630264,Anthony Gill,1610612764,WAS,49,6,43,769.0,972,108,45,65,0.692,4,6,0.667,96,0.889,31,0.287,3,0.028,6,0.056,2,0.019,2025-26,Regular Season,PaintTouch
1641810,Antonio Reeves,1610612766,CHA,10,4,6,68.0,70,2,0,0,0.0,0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
