PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON,SEASON_TYPE
1629004,Svi Mykhailiuk,1610612762,UTA,28.0,48,1123.0,127,65,62,76,1,17,38,10,14,24,0.417,0.583,0,14,14,8,14,0.0,1.0,1.0,0.571,2025-26,Regular Season
204456,T.J. McConnell,1610612754,IND,34.0,54,934.0,78,36,42,115,4,3,9,11,22,33,0.333,0.667,0,7,7,3,7,0.0,1.0,1.0,0.429,2025-26,Regular Season
1643007,Taelon Peter,1610612754,IND,24.0,26,366.0,71,44,27,32,3,1,2,1,5,6,0.167,0.833,0,5,5,1,5,0.0,1.0,1.0,0.2,2025-26,Regular Season
201959,Taj Gibson,1610612763,MEM,40.0,7,65.0,16,11,5,4,0,9,26,0,0,0,0.0,0.0,1,2,3,2,3,0.333,0.667,1.0,0.667,2025-26,Regular Season
1631106,Tari Eason,1610612745,HOU,24.0,55,1424.0,256,165,91,132,0,10,24,23,18,41,0.561,0.439,3,14,17,11,17,0.176,0.824,1.0,0.647,2025-26,Regular Season
1627752,Taurean Prince,1610612749,MIL,32.0,21,456.0,45,19,26,25,0,3,6,0,1,1,0.0,1.0,0,5,5,4,5,0.0,1.0,1.0,0.8,2025-26,Regular Season
1641707,Taylor Hendricks,1610612763,MEM,22.0,56,1083.0,217,129,88,90,0,64,149,8,6,14,0.571,0.429,2,12,14,5,14,0.143,0.857,1.0,0.357,2025-26,Regular Season
1629611,Terance Mann,1610612751,BKN,29.0,63,1529.0,172,98,74,124,3,27,66,10,8,18,0.556,0.444,5,15,20,9,20,0.25,0.75,1.0,0.45,2025-26,Regular Season
1630545,Terrence Shannon Jr.,1610612750,MIN,25.0,34,420.0,61,35,26,26,2,6,14,3,2,5,0.6,0.4,0,8,7,1,8,0.0,1.0,0.875,0.125,2025-26,Regular Season
203648,Thanasis Antetokounmpo,1610612749,MIL,33.0,22,97.0,11,7,4,20,0,3,6,3,0,3,1.0,0.0,1,0,1,1,1,1.0,0.0,1.0,1.0,2025-26,Regular Season
