PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630639,A.J. Lawson,1610612761,TOR,19,9,10,182.0,16,35,0.457,48,16.0,35.0,0.457,0.686,2025-26,Regular Season,CatchShoot
1631260,AJ Green,1610612749,MIL,73,29,44,2097.0,151,376,0.402,452,150.0,372.0,0.403,0.601,2025-26,Regular Season,CatchShoot
1642358,AJ Johnson,1610612742,DAL,44,8,36,386.0,6,29,0.207,18,6.0,29.0,0.207,0.31,2025-26,Regular Season,CatchShoot
203932,Aaron Gordon,1610612743,DEN,33,24,9,910.0,40,94,0.426,118,38.0,85.0,0.447,0.628,2025-26,Regular Season,CatchShoot
1628988,Aaron Holiday,1610612745,HOU,52,34,18,698.0,55,134,0.41,164,54.0,132.0,0.409,0.612,2025-26,Regular Season,CatchShoot
1630174,Aaron Nesmith,1610612754,IND,45,10,35,1335.0,92,227,0.405,274,90.0,221.0,0.407,0.604,2025-26,Regular Season,CatchShoot
1630598,Aaron Wiggins,1610612760,OKC,60,47,13,1330.0,74,199,0.372,221,73.0,197.0,0.371,0.555,2025-26,Regular Season,CatchShoot
1642846,Ace Bailey,1610612762,UTA,69,18,51,1896.0,93,298,0.312,274,88.0,272.0,0.324,0.46,2025-26,Regular Season,CatchShoot
1642380,Adama Bal,1610612763,MEM,4,1,3,102.0,5,15,0.333,15,5.0,13.0,0.385,0.5,2025-26,Regular Season,CatchShoot
1641737,Adem Bona,1610612755,PHI,67,39,28,1160.0,2,7,0.286,6,2.0,6.0,0.333,0.429,2025-26,Regular Season,CatchShoot
1642876,Adou Thiero,1610612747,LAL,21,12,9,108.0,0,1,0.0,0,0.0,1.0,0.0,0.0,2025-26,Regular Season,CatchShoot
1642349,Ajay Mitchell,1610612760,OKC,54,47,7,1408.0,41,125,0.328,122,40.0,120.0,0.333,0.488,2025-26,Regular Season,CatchShoot
201143,Al Horford,1610612744,GSW,43,22,21,933.0,72,194,0.371,210,66.0,185.0,0.357,0.541,2025-26,Regular Season,CatchShoot
1630828,Alex Antetokounmpo,1610612749,MIL,3,1,2,11.0,0,3,0.0,0,0.0,3.0,0.0,0.0,2025-26,Regular Season,CatchShoot
1627936,Alex Caruso,1610612760,OKC,53,44,9,984.0,49,155,0.316,145,47.0,152.0,0.309,0.468,2025-26,Regular Season,CatchShoot
1631457,Alex Morales,1610612753,ORL,1,0,1,12.0,0,0,nan,0,nan,nan,nan,nan,2025-26,Regular Season,CatchShoot
1642259,Alex Sarr,1610612764,WAS,48,11,37,1305.0,53,153,0.346,150,44.0,129.0,0.341,0.49,2025-26,Regular Season,CatchShoot
1642918,Alijah Martin,1610612761,TOR,20,9,11,130.0,5,17,0.294,14,4.0,16.0,0.25,0.412,2025-26,Regular Season,CatchShoot
1631214,Alondes Williams,1610612764,WAS,4,2,2,101.0,5,12,0.417,15,5.0,12.0,0.417,0.625,2025-26,Regular Season,CatchShoot
