PLAYER_ID,PLAYER_NAME,POSITION,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,SEASON_TYPE
1630639,A.J. Lawson,SG,1610612761,TOR,25.0,6-6,78,179.0,South Carolina,Canada,Undrafted,Undrafted,Undrafted,19,4.5,1.8,0.3,-4.0,0.038,0.157,0.171,0.631,0.049,2025-26,Regular Season
1631260,AJ Green,SG,1610612749,MIL,26.0,6-4,76,190.0,Northern Iowa,USA,Undrafted,Undrafted,Undrafted,73,9.8,2.6,2.0,-3.5,0.011,0.079,0.131,0.617,0.091,2025-26,Regular Season
1642358,AJ Johnson,SG,1610612742,DAL,21.0,6-5,77,160.0,,USA,2024,1,23,44,2.8,1.1,0.9,-3.7,0.025,0.097,0.18,0.401,0.155,2025-26,Regular Season
203932,Aaron Gordon,PF,1610612743,DEN,30.0,6-8,80,235.0,Arizona,USA,2014,1,4,33,16.3,5.8,2.5,13.0,0.054,0.15,0.218,0.618,0.124,2025-26,Regular Season
1628988,Aaron Holiday,PG,1610612745,HOU,29.0,6-0,72,185.0,UCLA,USA,2018,1,23,52,5.4,0.9,1.0,5.8,0.013,0.052,0.166,0.559,0.106,2025-26,Regular Season
1630174,Aaron Nesmith,SF,1610612754,IND,26.0,6-5,77,215.0,Vanderbilt,USA,2020,1,14,45,13.8,4.2,1.9,-7.3,0.034,0.102,0.19,0.554,0.091,2025-26,Regular Season
1630598,Aaron Wiggins,SG,1610612760,OKC,27.0,6-5,77,190.0,Maryland,USA,2021,2,55,60,9.7,3.2,1.7,7.6,0.029,0.103,0.196,0.542,0.108,2025-26,Regular Season
1642846,Ace Bailey,SF,1610612762,UTA,19.0,6-9,81,200.0,Rutgers,USA,2025,1,5,69,13.6,4.1,1.8,-10.3,0.048,0.096,0.207,0.537,0.099,2025-26,Regular Season
1642380,Adama Bal,SG,1610612763,MEM,22.0,6-7,79,190.0,Santa Clara,France,Undrafted,Undrafted,Undrafted,4,6.3,2.3,2.0,-26.9,0.019,0.063,0.12,0.475,0.121,2025-26,Regular Season
1641737,Adem Bona,C,1610612755,PHI,23.0,6-10,82,235.0,UCLA,Nigeria,2024,2,41,67,4.9,4.4,0.4,1.0,0.1,0.141,0.108,0.635,0.033,2025-26,Regular Season
1642876,Adou Thiero,SF,1610612747,LAL,21.0,6-7,79,220.0,Arkansas,USA,2025,2,36,21,1.4,1.0,0.3,-7.4,0.067,0.134,0.124,0.532,0.078,2025-26,Regular Season
1642349,Ajay Mitchell,SG,1610612760,OKC,23.0,6-4,76,190.0,California-Santa Barbara,Belgium,2024,2,38,54,13.9,3.4,3.6,15.1,0.027,0.095,0.211,0.591,0.191,2025-26,Regular Season
201143,Al Horford,C,1610612744,GSW,39.0,6-8,80,240.0,Florida,Dominican Republic,2007,1,3,43,8.3,5.0,2.6,-1.0,0.045,0.188,0.162,0.554,0.17,2025-26,Regular Season
1630828,Alex Antetokounmpo,PF,1610612749,MIL,24.0,6-8,80,214.0,,Greece,Undrafted,Undrafted,Undrafted,3,1.3,0.3,0.0,-3.8,0.077,0.0,0.214,0.355,0.0,2025-26,Regular Season
