PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE
1630595,"Cunningham, Cade",4,61,60,3-6 Dribbles,0.332,191,376,0.508,0.552,0.261,158,295,0.536,0.072,33,81,0.407,2025-26,Regular Season
1630595,"Cunningham, Cade",5,61,59,7+ Dribbles,0.324,164,366,0.448,0.481,0.261,140,295,0.475,0.063,24,71,0.338,2025-26,Regular Season
1631216,"Houstan, Caleb",1,18,9,0 Dribbles,0.84,12,21,0.571,0.833,0.08,1,2,0.5,0.76,11,19,0.579,2025-26,Regular Season
1631216,"Houstan, Caleb",2,18,4,1 Dribble,0.16,1,4,0.25,0.25,0.08,1,2,0.5,0.08,0,2,0.0,2025-26,Regular Season
1631126,"Love, Caleb",1,47,44,0 Dribbles,0.436,78,213,0.366,0.531,0.031,8,15,0.533,0.406,70,198,0.354,2025-26,Regular Season
1631126,"Love, Caleb",2,47,25,1 Dribble,0.066,14,32,0.438,0.484,0.033,11,16,0.688,0.033,3,16,0.188,2025-26,Regular Season
1631126,"Love, Caleb",3,47,33,2 Dribbles,0.121,27,59,0.458,0.517,0.094,20,46,0.435,0.027,7,13,0.538,2025-26,Regular Season
1631126,"Love, Caleb",4,47,36,3-6 Dribbles,0.186,28,91,0.308,0.341,0.113,22,55,0.4,0.074,6,36,0.167,2025-26,Regular Season
1631126,"Love, Caleb",5,47,38,7+ Dribbles,0.191,43,93,0.462,0.5,0.135,36,66,0.545,0.055,7,27,0.259,2025-26,Regular Season
1628997,"Martin, Caleb",1,58,37,0 Dribbles,0.436,33,82,0.402,0.518,0.165,14,31,0.452,0.271,19,51,0.373,2025-26,Regular Season
1628997,"Martin, Caleb",2,58,20,1 Dribble,0.128,11,24,0.458,0.479,0.112,10,21,0.476,0.016,1,3,0.333,2025-26,Regular Season
1628997,"Martin, Caleb",3,58,17,2 Dribbles,0.122,13,23,0.565,0.565,0.117,13,22,0.591,0.005,0,1,0.0,2025-26,Regular Season
1628997,"Martin, Caleb",4,58,23,3-6 Dribbles,0.176,16,33,0.485,0.485,0.17,16,32,0.5,0.005,0,1,0.0,2025-26,Regular Season
1628997,"Martin, Caleb",5,58,18,7+ Dribbles,0.138,12,26,0.462,0.462,0.138,12,26,0.462,0.0,0,0,,2025-26,Regular Season
1642353,"Christie, Cam",1,51,32,0 Dribbles,0.439,22,58,0.379,0.474,0.159,11,21,0.524,0.28,11,37,0.297,2025-26,Regular Season
1642353,"Christie, Cam",2,51,13,1 Dribble,0.114,7,15,0.467,0.5,0.083,6,11,0.545,0.03,1,4,0.25,2025-26,Regular Season
1642353,"Christie, Cam",3,51,20,2 Dribbles,0.212,13,28,0.464,0.464,0.197,13,26,0.5,0.015,0,2,0.0,2025-26,Regular Season
1642353,"Christie, Cam",4,51,17,3-6 Dribbles,0.152,6,20,0.3,0.3,0.129,6,17,0.353,0.023,0,3,0.0,2025-26,Regular Season
