GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM,FGA,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1642272,Jared McCain,Jared,1610612760,OKC,22.0,10,7,3,0.7,2.3,0.333,0.667,0.167,0.167,0.75,0.0,0.083,0.0,0.0,0.0,1.0,1.0,0.0,0.75,0.25,4,6,0.667,278,204,123,64,283,314,74,318,31,20,183,289,247,321,285,1,1,73,125,209,206,252,48,2,2025-26,Regular Season,Scoring
Players,1628991,Jaren Jackson Jr.,Jaren,1610612762,UTA,26.0,26,9,17,0.346,3.3,0.703,0.297,0.424,0.121,0.091,0.121,0.485,0.303,0.303,0.714,0.286,1.0,0.0,0.75,0.25,8,37,0.216,89,151,452,364,111,128,278,194,55,241,95,48,59,233,96,234,1,73,125,209,124,51,343,1,2025-26,Regular Season,Scoring
Players,1629020,Jarred Vanderbilt,Jarred,1610612747,LAL,27.0,7,5,2,0.714,1.6,0.5,0.5,0.4,0.0,0.6,0.0,0.0,0.6,0.4,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1.0,309,256,86,57,363,230,147,203,132,36,183,303,11,168,1,258,1,73,1,266,265,330,1,1,2025-26,Regular Season,Scoring
Players,1628386,Jarrett Allen,Jarrett,1610612739,CLE,27.0,21,13,8,0.619,2.7,0.917,0.083,0.4,0.0,0.0,0.0,0.6,0.08,0.4,0.8,0.2,0.0,0.0,0.8,0.2,5,12,0.417,137,91,279,108,224,77,329,203,132,247,183,27,218,168,80,250,242,73,109,237,180,188,215,1,2025-26,Regular Season,Scoring
Players,1642859,Jase Richardson,Jase,1610612753,ORL,20.0,2,0,2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,412,438,86,438,404,377,338,333,132,247,183,303,247,321,285,258,242,73,334,266,356,406,356,1,2025-26,Regular Season,Scoring
Players,1642914,Javon Small,Javon,1610612763,MEM,23.0,8,3,5,0.375,1.8,0.2,0.8,0.333,0.0,0.5,0.333,0.167,0.333,0.333,1.0,0.0,1.0,0.0,1.0,0.0,2,5,0.4,300,308,183,346,340,357,43,244,132,73,21,242,42,211,1,258,1,73,1,266,265,268,226,1,2025-26,Regular Season,Scoring
Players,1629750,Javonte Green,Javonte,1610612765,DET,32.0,30,19,11,0.633,1.9,0.235,0.765,0.267,0.0,0.4,0.0,0.333,0.0,0.267,0.5,0.5,1.0,0.0,0.75,0.25,4,17,0.235,44,15,352,99,335,351,53,282,132,124,183,103,247,250,141,147,1,73,125,209,206,144,337,1,2025-26,Regular Season,Scoring
Players,1629637,Jaxson Hayes,Jaxson,1610612747,LAL,25.0,13,8,5,0.615,1.3,1.0,0.0,0.667,0.0,0.0,0.0,0.333,0.333,0.667,1.0,0.0,0.0,0.0,1.0,0.0,1,2,0.5,234,180,183,109,394,1,338,82,132,247,183,103,42,67,1,258,242,73,1,266,309,330,119,1,2025-26,Regular Season,Scoring
Players,1630643,Jay Huff,Jay,1610612754,IND,28.0,20,9,11,0.45,2.4,0.429,0.571,0.444,0.0,0.333,0.0,0.223,0.333,0.444,1.0,0.0,1.0,0.0,1.0,0.0,3,7,0.429,147,151,352,283,270,282,120,181,132,146,183,200,42,149,1,258,1,73,1,266,231,240,198,1,2025-26,Regular Season,Scoring
Players,1627759,Jaylen Brown,Jaylen,1610612738,BOS,29.0,27,14,13,0.519,3.5,0.687,0.313,0.527,0.066,0.198,0.088,0.275,0.088,0.462,0.25,0.75,0.5,0.5,0.3,0.7,30,67,0.448,72,80,397,206,86,139,267,141,101,209,122,156,215,141,248,75,221,18,313,43,13,13,177,1,2025-26,Regular Season,Scoring
