CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS,SEASON,SEASON_TYPE,DEFENSE_CATEGORY
1642270,Donovan Clingan,1610612757,POR,C,22.0,73,73,0.661,479,985,0.486,0.564,-0.078,2025-26,Regular Season,2 Pointers
203497,Rudy Gobert,1610612750,MIN,C,33.0,74,74,0.728,434,916,0.474,0.557,-0.083,2025-26,Regular Season,2 Pointers
203999,Nikola Jokić,1610612743,DEN,C,31.0,61,61,0.726,456,821,0.555,0.562,-0.006,2025-26,Regular Season,2 Pointers
1630578,Alperen Sengun,1610612745,HOU,C,23.0,67,67,0.673,452,816,0.554,0.566,-0.012,2025-26,Regular Season,2 Pointers
1642852,Derik Queen,1610612740,NOP,C,21.0,77,76,0.665,424,769,0.551,0.568,-0.017,2025-26,Regular Season,2 Pointers
1630567,Scottie Barnes,1610612761,TOR,F-G,24.0,74,74,0.665,395,722,0.547,0.551,-0.004,2025-26,Regular Season,2 Pointers
1626167,Myles Turner,1610612749,MIL,C-F,30.0,69,69,0.714,374,709,0.528,0.556,-0.029,2025-26,Regular Season,2 Pointers
1642875,Maxime Raynaud,1610612758,SAC,C,22.0,70,69,0.682,396,707,0.56,0.565,-0.005,2025-26,Regular Season,2 Pointers
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,73,73,0.75,360,704,0.511,0.559,-0.048,2025-26,Regular Season,2 Pointers
1641739,Toumani Camara,1610612757,POR,F,25.0,78,78,0.652,386,692,0.558,0.548,0.01,2025-26,Regular Season,2 Pointers
1641824,Matas Buzelis,1610612741,CHI,F,21.0,75,75,0.65,360,692,0.52,0.55,-0.03,2025-26,Regular Season,2 Pointers
1642851,Kon Knueppel,1610612766,CHA,G-F,20.0,77,77,0.679,340,689,0.493,0.547,-0.054,2025-26,Regular Season,2 Pointers
1629028,Deandre Ayton,1610612747,LAL,C,27.0,67,67,0.732,370,688,0.538,0.549,-0.011,2025-26,Regular Season,2 Pointers
1630596,Evan Mobley,1610612739,CLE,C,24.0,62,62,0.67,336,682,0.493,0.562,-0.07,2025-26,Regular Season,2 Pointers
1641705,Victor Wembanyama,1610612759,SAS,F-C,22.0,61,61,0.622,316,679,0.465,0.565,-0.1,2025-26,Regular Season,2 Pointers
1630168,Onyeka Okongwu,1610612737,ATL,F-C,25.0,71,71,0.654,383,677,0.566,0.562,0.004,2025-26,Regular Season,2 Pointers
1628436,Luke Kornet,1610612759,SAS,C-F,30.0,64,64,0.716,342,673,0.508,0.566,-0.057,2025-26,Regular Season,2 Pointers
202696,Nikola Vučević,1610612738,BOS,C,35.0,59,59,0.689,349,662,0.527,0.567,-0.039,2025-26,Regular Season,2 Pointers
1628389,Bam Adebayo,1610612748,MIA,C-F,28.0,68,68,0.644,339,654,0.518,0.563,-0.044,2025-26,Regular Season,2 Pointers
1630183,Jaden McDaniels,1610612750,MIN,F,25.0,71,70,0.638,326,653,0.499,0.553,-0.053,2025-26,Regular Season,2 Pointers
1629029,Luka Dončić,1610612747,LAL,F-G,27.0,64,64,0.608,378,640,0.591,0.551,0.04,2025-26,Regular Season,2 Pointers
