CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,SEASON,SEASON_TYPE,DEFENSE_CATEGORY
1631116,Patrick Baldwin Jr.,1610612758,SAC,F,23.0,8,8,1.0,14,32,0.438,0.454,-0.017,2025-26,Regular Season,Overall
1642357,David Jones Garcia,1610612759,SAS,G,24.0,8,8,1.0,14,31,0.452,0.438,0.014,2025-26,Regular Season,Overall
1641890,Tyler Smith,1610612742,DAL,F,21.0,8,8,1.0,13,31,0.419,0.464,-0.044,2025-26,Regular Season,Overall
1641780,Johni Broome,1610612755,PHI,F,23.0,7,7,1.0,17,31,0.548,0.482,0.067,2025-26,Regular Season,Overall
1641752,Bobi Klintman,1610612765,DET,F,23.0,10,10,1.0,14,30,0.467,0.441,0.026,2025-26,Regular Season,Overall
1628420,Monte Morris,1610612754,IND,G,30.0,5,5,1.0,11,28,0.393,0.451,-0.058,2025-26,Regular Season,Overall
204060,Joe Ingles,1610612750,MIN,F-G,38.0,14,14,1.0,16,28,0.571,0.47,0.102,2025-26,Regular Season,Overall
1642504,Cormac Ryan,1610612749,MIL,G,27.0,6,6,1.0,15,27,0.556,0.466,0.089,2025-26,Regular Season,Overall
1628964,Mo Bamba,1610612762,UTA,C,27.0,4,4,1.0,13,27,0.481,0.47,0.012,2025-26,Regular Season,Overall
1643133,Lawson Lovering,1610612763,MEM,C,22.0,2,2,1.0,13,27,0.481,0.501,-0.02,2025-26,Regular Season,Overall
1641723,Kobe Bufkin,1610612747,LAL,G,22.0,9,9,1.0,16,26,0.615,0.458,0.158,2025-26,Regular Season,Overall
1630164,James Wiseman,1610612754,IND,C,25.0,4,4,1.0,13,25,0.52,0.498,0.022,2025-26,Regular Season,Overall
1641998,Trey Jemison III,1610612752,NYK,C,26.0,7,7,1.0,14,25,0.56,0.475,0.085,2025-26,Regular Season,Overall
202066,Garrett Temple,1610612761,TOR,G-F,39.0,12,12,1.0,8,24,0.333,0.429,-0.096,2025-26,Regular Season,Overall
203967,Dario Saric,1610612758,SAC,F-C,31.0,5,5,1.0,13,24,0.542,0.457,0.085,2025-26,Regular Season,Overall
1631111,Wendell Moore Jr.,1610612765,DET,G,24.0,5,5,1.0,8,24,0.333,0.458,-0.125,2025-26,Regular Season,Overall
1630644,Mac McClung,1610612741,CHI,G,27.0,4,4,1.0,10,24,0.417,0.461,-0.045,2025-26,Regular Season,Overall
1631102,TyTy Washington Jr.,1610612746,LAC,G,24.0,10,10,1.0,14,23,0.609,0.464,0.145,2025-26,Regular Season,Overall
201569,Eric Gordon,1610612755,PHI,G,37.0,6,6,1.0,8,23,0.348,0.431,-0.084,2025-26,Regular Season,Overall
203552,Seth Curry,1610612744,GSW,G,35.0,6,6,1.0,14,23,0.609,0.473,0.135,2025-26,Regular Season,Overall
1628998,Cody Martin,1610612754,IND,F,30.0,4,4,1.0,7,21,0.333,0.455,-0.121,2025-26,Regular Season,Overall
1641761,Grant Nelson,1610612751,BKN,F,24.0,4,4,1.0,7,21,0.333,0.473,-0.139,2025-26,Regular Season,Overall
1627746,Skal Labissiere,1610612764,WAS,F-C,30.0,3,3,1.0,10,20,0.5,0.447,0.053,2025-26,Regular Season,Overall
1641809,Drew Peterson,1610612766,CHA,F,26.0,6,6,1.0,8,20,0.4,0.479,-0.079,2025-26,Regular Season,Overall
1642380,Adama Bal,1610612763,MEM,G,22.0,2,2,1.0,8,20,0.4,0.443,-0.043,2025-26,Regular Season,Overall
1642955,Kadary Richmond,1610612764,WAS,G,24.0,3,3,1.0,7,20,0.35,0.431,-0.081,2025-26,Regular Season,Overall
1629646,Charles Bassey,1610612738,BOS,C-F,25.0,5,5,1.0,6,19,0.316,0.451,-0.135,2025-26,Regular Season,Overall
1641725,Trey Alexander,1610612740,NOP,G,22.0,4,4,1.0,9,19,0.474,0.471,0.003,2025-26,Regular Season,Overall
1642933,Keshon Gilbert,1610612737,ATL,G,22.0,3,3,1.0,9,19,0.474,0.446,0.027,2025-26,Regular Season,Overall
1642443,Jahmir Young,1610612748,MIA,G,25.0,9,9,1.0,10,19,0.526,0.434,0.093,2025-26,Regular Season,Overall
1629610,DaQuan Jeffries,1610612758,SAC,G-F,28.0,3,3,1.0,9,19,0.474,0.445,0.028,2025-26,Regular Season,Overall
1642260,Nikola Topić,1610612760,OKC,G,20.0,4,4,1.0,8,18,0.444,0.454,-0.01,2025-26,Regular Season,Overall
1642911,Rocco Zikarsky,1610612750,MIN,C,19.0,4,4,1.0,7,17,0.412,0.489,-0.077,2025-26,Regular Season,Overall
1641810,Antonio Reeves,1610612766,CHA,G,25.0,7,7,1.0,8,17,0.471,0.45,0.02,2025-26,Regular Season,Overall
1631115,Orlando Robinson,1610612753,ORL,C,25.0,4,4,1.0,13,17,0.765,0.458,0.307,2025-26,Regular Season,Overall
1642384,Isaiah Crawford,1610612745,HOU,F,24.0,6,6,1.0,6,16,0.375,0.423,-0.048,2025-26,Regular Season,Overall
1628365,Markelle Fultz,1610612761,TOR,G,27.0,4,4,1.0,8,16,0.5,0.436,0.064,2025-26,Regular Season,Overall
1642886,Koby Brea,1610612756,PHX,G,23.0,5,5,1.0,6,14,0.429,0.443,-0.015,2025-26,Regular Season,Overall
1642434,Riley Minix,1610612739,CLE,F,25.0,6,6,1.0,6,12,0.5,0.424,0.076,2025-26,Regular Season,Overall
1642282,Hunter Sallis,1610612755,PHI,G,23.0,4,4,1.0,5,12,0.417,0.452,-0.035,2025-26,Regular Season,Overall
1642938,Curtis Jones,1610612743,DEN,G,24.0,6,6,1.0,4,12,0.333,0.447,-0.114,2025-26,Regular Season,Overall
1643024,Chris Mañon,1610612747,LAL,G,24.0,5,5,1.0,6,12,0.5,0.463,0.037,2025-26,Regular Season,Overall
1631205,Buddy Boeheim,1610612760,OKC,F,26.0,2,2,1.0,4,12,0.333,0.443,-0.11,2025-26,Regular Season,Overall
1642403,Isaac Jones,1610612765,DET,F,25.0,5,5,1.0,4,11,0.364,0.429,-0.066,2025-26,Regular Season,Overall
1641801,Emanuel Miller,1610612759,SAS,F,25.0,5,5,1.0,7,11,0.636,0.453,0.183,2025-26,Regular Season,Overall
1631216,Caleb Houstan,1610612737,ATL,G,23.0,7,7,1.0,7,11,0.636,0.486,0.15,2025-26,Regular Season,Overall
1641815,Isaiah Stevens,1610612758,SAC,G,25.0,2,2,1.0,9,10,0.9,0.442,0.459,2025-26,Regular Season,Overall
1641813,Mark Sears,1610612749,MIL,G,24.0,5,5,1.0,4,10,0.4,0.416,-0.016,2025-26,Regular Season,Overall
1642884,Vladislav Goldin,1610612748,MIA,C,24.0,3,3,1.0,4,9,0.444,0.498,-0.054,2025-26,Regular Season,Overall
1641794,Dillon Jones,1610612752,NYK,F,24.0,5,5,1.0,3,8,0.375,0.314,0.061,2025-26,Regular Season,Overall
1642368,N'Faly Dante,1610612737,ATL,C,24.0,3,3,1.0,1,8,0.125,0.456,-0.331,2025-26,Regular Season,Overall
1630621,Hunter Dickinson,1610612740,NOP,C,25.0,1,1,1.0,4,8,0.5,0.469,0.031,2025-26,Regular Season,Overall
1643141,Jahmyl Telfort,1610612746,LAC,G,24.0,3,3,1.0,2,7,0.286,0.472,-0.187,2025-26,Regular Season,Overall
1629634,Brandon Clarke,1610612763,MEM,F,29.0,2,2,1.0,3,7,0.429,0.483,-0.055,2025-26,Regular Season,Overall
1643257,Jayson Kent,1610612757,POR,F,24.0,3,3,1.0,5,7,0.714,0.48,0.234,2025-26,Regular Season,Overall
1642951,Sean Pedulla,1610612746,LAC,G,23.0,4,4,1.0,3,7,0.429,0.447,-0.019,2025-26,Regular Season,Overall
1642400,Tristan Enaruna,1610612739,CLE,F,24.0,5,5,1.0,4,6,0.667,0.406,0.261,2025-26,Regular Season,Overall
1642935,Chucky Hepburn,1610612761,TOR,G,23.0,2,2,1.0,4,6,0.667,0.445,0.222,2025-26,Regular Season,Overall
1642402,Enrique Freeman,1610612750,MIN,F,25.0,2,2,1.0,3,6,0.5,0.35,0.15,2025-26,Regular Season,Overall
1642917,Max Shulga,1610612738,BOS,G,23.0,4,4,1.0,0,5,0.0,0.424,-0.424,2025-26,Regular Season,Overall
1631223,David Roddy,1610612743,DEN,F,25.0,2,2,1.0,2,5,0.4,0.409,-0.009,2025-26,Regular Season,Overall
1630625,Dalano Banton,1610612738,BOS,F,26.0,3,3,1.0,2,5,0.4,0.436,-0.036,2025-26,Regular Season,Overall
1631127,Harrison Ingram,1610612759,SAS,F,23.0,4,4,1.0,3,5,0.6,0.394,0.206,2025-26,Regular Season,Overall
1642910,John Tonje,1610612738,BOS,G,24.0,2,2,1.0,4,5,0.8,0.423,0.377,2025-26,Regular Season,Overall
1631457,Alex Morales,1610612753,ORL,G,28.0,1,1,1.0,3,4,0.75,0.448,0.302,2025-26,Regular Season,Overall
1642389,Zyon Pullin,1610612750,MIN,G,25.0,1,1,1.0,2,4,0.5,0.415,0.086,2025-26,Regular Season,Overall
1641787,Tosan Evbuomwan,1610612766,CHA,F,25.0,2,2,1.0,1,4,0.25,0.458,-0.208,2025-26,Regular Season,Overall
1630286,Trevon Scott,1610612751,BKN,F,29.0,1,1,1.0,2,4,0.5,0.48,0.02,2025-26,Regular Season,Overall
1641753,Chris Livingston,1610612739,CLE,F,22.0,1,1,1.0,2,3,0.667,0.453,0.214,2025-26,Regular Season,Overall
1641807,Norchad Omier,1610612746,LAC,F,24.0,3,3,1.0,1,3,0.333,0.429,-0.095,2025-26,Regular Season,Overall
1642362,Payton Sandfort,1610612760,OKC,F,23.0,2,2,1.0,2,3,0.667,0.384,0.283,2025-26,Regular Season,Overall
1631210,Jacob Toppin,1610612737,ATL,F,25.0,2,2,1.0,0,2,0.0,0.438,-0.438,2025-26,Regular Season,Overall
1631351,Lucas Williamson,1610612763,MEM,G,27.0,1,1,1.0,2,2,1.0,0.464,0.536,2025-26,Regular Season,Overall
1630658,Colin Castleton,1610612753,ORL,C,25.0,1,1,1.0,0,2,0.0,0.379,-0.379,2025-26,Regular Season,Overall
1642280,Trentyn Flowers,1610612741,CHI,F,21.0,2,2,1.0,1,2,0.5,0.457,0.043,2025-26,Regular Season,Overall
1630828,Alex Antetokounmpo,1610612749,MIL,F,24.0,2,2,1.0,0,2,0.0,0.449,-0.449,2025-26,Regular Season,Overall
1630649,Stanley Umude,1610612759,SAS,G,26.0,1,1,1.0,1,1,1.0,0.407,0.593,2025-26,Regular Season,Overall
1642468,Darius Brown,1610612739,CLE,G,26.0,1,1,1.0,1,1,1.0,0.437,0.563,2025-26,Regular Season,Overall
1631211,Trevor Keels,1610612748,MIA,G,22.0,1,1,1.0,0,1,0.0,0.387,-0.387,2025-26,Regular Season,Overall
1641732,Colby Jones,1610612765,DET,G,23.0,1,1,1.0,1,1,1.0,0.5,0.5,2025-26,Regular Season,Overall
