CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,SEASON,SEASON_TYPE,DEFENSE_CATEGORY
1642269,Devin Carter,1610612758,SAC,G,24.0,33,29,0.473,51,107,0.477,0.359,0.118,2025-26,Regular Season,3 Pointers
1642879,Ben Saraf,1610612751,BKN,G,19.0,39,33,0.355,43,106,0.406,0.368,0.038,2025-26,Regular Season,3 Pointers
1630560,Cam Thomas,1610612749,MIL,G,24.0,42,38,0.365,44,105,0.419,0.355,0.064,2025-26,Regular Season,3 Pointers
203482,Kelly Olynyk,1610612759,SAS,F-C,34.0,40,36,0.482,32,105,0.305,0.344,-0.039,2025-26,Regular Season,3 Pointers
1642278,Tyler Kolek,1610612752,NYK,G,25.0,52,48,0.4,38,104,0.365,0.36,0.006,2025-26,Regular Season,3 Pointers
1630175,Cole Anthony,1610612749,MIL,G,25.0,33,32,0.477,43,103,0.417,0.361,0.056,2025-26,Regular Season,3 Pointers
1631159,Leonard Miller,1610612741,CHI,F,22.0,31,28,0.437,35,101,0.347,0.367,-0.021,2025-26,Regular Season,3 Pointers
1641722,Jordan Hawkins,1610612740,NOP,G,23.0,46,37,0.409,33,101,0.327,0.355,-0.028,2025-26,Regular Season,3 Pointers
1630192,Zeke Nnaji,1610612743,DEN,F-C,25.0,43,36,0.345,35,101,0.347,0.356,-0.009,2025-26,Regular Season,3 Pointers
1628988,Aaron Holiday,1610612745,HOU,G,29.0,47,41,0.398,27,101,0.267,0.352,-0.084,2025-26,Regular Season,3 Pointers
1629618,Jalen Pickett,1610612743,DEN,G,26.0,39,32,0.42,34,100,0.34,0.359,-0.019,2025-26,Regular Season,3 Pointers
1628418,Thomas Bryant,1610612739,CLE,C-F,28.0,55,44,0.273,52,100,0.52,0.362,0.158,2025-26,Regular Season,3 Pointers
1631342,Daeqwon Plowden,1610612758,SAC,G-F,27.0,28,27,0.388,41,99,0.414,0.346,0.068,2025-26,Regular Season,3 Pointers
1630224,Jalen Green,1610612756,PHX,G,24.0,29,27,0.387,31,99,0.313,0.372,-0.059,2025-26,Regular Season,3 Pointers
1642928,Dylan Cardwell,1610612758,SAC,C,24.0,40,36,0.253,34,99,0.343,0.351,-0.008,2025-26,Regular Season,3 Pointers
1642277,Johnny Furphy,1610612754,IND,G,21.0,34,30,0.318,38,98,0.388,0.372,0.016,2025-26,Regular Season,3 Pointers
