GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1629655,Daniel Gafford,Daniel,1610612742,DAL,27.0,27,7,20,0.259,2.9,0.0,0.5,0.0,0.9,0.7,0.8,0.3,2.9,0.2,0.1,0.5,0.4,3.3,72,204,474,401,181,247,24,183,70,198,235,211,145,34,375,385,118,91,1,2025-26,Regular Season,Misc
Players,1642450,Daniss Jenkins,Daniss,1610612765,DET,24.0,24,16,8,0.667,3.0,0.1,0.3,0.1,0.5,1.2,1.1,0.7,2.2,0.0,0.1,0.4,0.8,2.8,105,49,279,72,166,226,55,148,148,352,348,382,253,188,422,345,30,140,1,2025-26,Regular Season,Misc
Players,1642874,Danny Wolf,Danny,1610612751,BKN,21.0,13,4,9,0.308,1.7,0.2,0.0,0.0,0.3,0.8,0.8,0.4,1.4,0.0,0.1,0.5,0.2,1.2,234,279,303,382,358,174,244,183,224,233,261,240,356,188,383,377,212,322,1,2025-26,Regular Season,Misc
Players,203967,Dario Saric,Dario,1610612758,SAC,31.0,1,1,0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,442,383,1,1,373,247,244,183,321,1,1,1,436,188,1,1,337,288,1,2025-26,Regular Season,Misc
Players,1629636,Darius Garland,Darius,1610612746,LAC,26.0,18,7,11,0.389,3.1,0.3,0.2,0.2,0.8,0.8,1.3,0.7,3.3,0.1,0.1,0.1,0.3,3.5,172,204,352,341,145,72,165,86,89,250,399,357,89,141,341,126,168,79,2,2025-26,Regular Season,Misc
Players,1630558,Davion Mitchell,Davion,1610612748,MIA,27.0,24,12,12,0.5,2.8,0.1,0.0,0.0,0.3,0.5,1.3,0.5,3.1,0.0,0.0,0.4,0.2,1.7,105,103,373,213,195,226,244,183,250,150,409,276,113,188,313,322,249,275,1,2025-26,Regular Season,Misc
Players,1630549,Day'Ron Sharpe,Day'Ron,1610612751,BKN,24.0,7,2,5,0.286,2.5,0.3,0.0,0.3,0.6,0.6,0.9,0.0,2.3,0.0,0.1,0.3,0.0,2.2,309,346,183,385,254,88,244,42,129,169,263,1,234,188,436,250,337,209,1,2025-26,Regular Season,Misc
Players,1628368,De'Aaron Fox,De'Aaron,1610612759,SAS,28.0,29,19,10,0.655,3.5,0.1,0.1,0.1,1.0,0.9,1.0,0.6,3.0,0.0,0.1,0.4,0.5,4.7,49,15,327,91,85,237,192,110,57,263,329,333,135,178,363,343,84,39,1,2025-26,Regular Season,Misc
Players,1629631,De'Andre Hunter,De'Andre,1610612758,SAC,28.0,18,8,10,0.444,2.7,0.1,0.4,0.3,0.7,1.2,0.8,0.7,3.2,0.0,0.1,0.6,0.4,2.2,172,180,327,292,222,243,45,28,108,366,257,357,101,188,341,430,94,212,2,2025-26,Regular Season,Misc
Players,1629001,De'Anthony Melton,De'Anthony,1610612744,GSW,27.0,19,9,10,0.474,2.4,0.4,0.3,0.2,0.8,0.5,0.6,0.1,2.6,0.1,0.1,0.4,0.2,3.4,163,151,327,266,264,62,98,70,75,148,186,140,190,150,410,319,234,85,1,2025-26,Regular Season,Misc
