PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630264,Anthony Gill,1610612764,WAS,49,6,43,769.0,252,43,0.594,41,0.341,8,0.444,96,0.692,2,0.5,32,0.636,0.656,2025-26,Regular Season,Efficiency
1641810,Antonio Reeves,1610612766,CHA,10,4,6,68.0,27,6,0.6,15,0.5,6,0.5,0,0.0,0,0.0,0,0.0,0.675,2025-26,Regular Season,Efficiency
1630574,Ariel Hukporti,1610612752,NYK,52,34,18,455.0,101,4,0.4,3,0.111,0,0.0,75,0.636,0,0.0,10,0.4,0.551,2025-26,Regular Season,Efficiency
1642854,Asa Newell,1610612737,ATL,42,22,20,453.0,208,16,0.5,84,0.4,2,0.25,61,0.718,0,0.0,26,0.929,0.63,2025-26,Regular Season,Efficiency
1641709,Ausar Thompson,1610612765,DET,68,49,19,1769.0,670,190,0.44,14,0.185,58,0.359,223,0.614,7,1.0,63,0.614,0.521,2025-26,Regular Season,Efficiency
1630559,Austin Reaves,1610612747,LAL,51,36,15,1762.0,1187,479,0.577,192,0.414,282,0.368,35,0.737,0,0.0,21,0.727,0.567,2025-26,Regular Season,Efficiency
1630245,Ayo Dosunmu,1610612750,MIN,66,34,32,1787.0,971,258,0.491,298,0.435,113,0.511,46,0.514,0,0.0,28,0.565,0.6,2025-26,Regular Season,Efficiency
1628389,Bam Adebayo,1610612748,MIA,68,34,34,2199.0,1378,366,0.466,343,0.344,208,0.355,266,0.661,72,0.366,112,0.536,0.494,2025-26,Regular Season,Efficiency
1631248,Baylor Scheierman,1610612738,BOS,72,50,22,1309.0,360,60,0.551,195,0.384,84,0.458,14,0.778,0,0.0,9,1.0,0.59,2025-26,Regular Season,Efficiency
1642879,Ben Saraf,1610612751,BKN,40,9,31,785.0,264,150,0.447,39,0.224,13,0.167,16,0.5,0,0.0,8,0.8,0.414,2025-26,Regular Season,Efficiency
1641767,Ben Sheppard,1610612754,IND,65,16,49,1390.0,459,76,0.483,237,0.379,35,0.292,26,0.55,0,0.0,7,0.286,0.543,2025-26,Regular Season,Efficiency
1631097,Bennedict Mathurin,1610612746,LAC,49,19,30,1504.0,905,238,0.465,133,0.375,221,0.369,134,0.716,7,0.5,53,0.563,0.492,2025-26,Regular Season,Efficiency
1643016,Bez Mbeng,1610612762,UTA,12,1,11,358.0,55,11,0.4,3,0.067,6,0.286,11,0.714,0,0.0,4,1.0,0.425,2025-26,Regular Season,Efficiency
1641731,Bilal Coulibaly,1610612764,WAS,53,14,39,1397.0,601,157,0.374,167,0.335,48,0.273,97,0.678,2,0.0,23,0.727,0.477,2025-26,Regular Season,Efficiency
202687,Bismack Biyombo,1610612759,SAS,24,20,4,136.0,21,0,0.0,0,0.0,0,0.0,15,0.583,0,0.0,0,0.0,0.571,2025-26,Regular Season,Efficiency
1642396,Blake Hinson,1610612762,UTA,11,3,8,214.0,117,11,0.8,84,0.538,7,0.3,6,0.429,0,0.0,2,0.25,0.708,2025-26,Regular Season,Efficiency
1631104,Blake Wesley,1610612757,POR,28,18,10,353.0,145,55,0.523,32,0.306,8,0.19,10,0.556,0,0.0,2,0.333,0.5,2025-26,Regular Season,Efficiency
