season,season_type,player_id,player_name,team_id,team_abbreviation,games_played,minutes_per_game,fgm_per_game,fga_per_game,fg_pct,fg3m_per_game,fg3a_per_game,fg3_pct,ftm_per_game,fta_per_game,ft_pct,efg_pct
2025-26,Regular Season,1630639,A.J. Lawson,1610612761,TOR,20,9.4,1.5,3.2,0.46,0.8,1.8,0.444,0.6,0.7,0.857,
2025-26,Regular Season,1631260,AJ Green,1610612749,MIL,74,28.7,3.2,7.6,0.416,2.8,6.8,0.409,0.6,0.8,0.842,
2025-26,Regular Season,1642358,AJ Johnson,1610612742,DAL,44,8.8,1.0,3.2,0.324,0.3,1.1,0.229,0.4,0.5,0.826,
2025-26,Regular Season,203932,Aaron Gordon,1610612743,DEN,35,28.1,5.6,11.2,0.5,1.7,4.4,0.394,3.5,4.6,0.764,
2025-26,Regular Season,1628988,Aaron Holiday,1610612745,HOU,53,13.6,1.8,4.5,0.405,1.2,3.0,0.39,0.6,0.7,0.865,
2025-26,Regular Season,1630174,Aaron Nesmith,1610612754,IND,45,29.7,4.7,11.4,0.414,2.3,6.2,0.379,2.0,2.5,0.829,
2025-26,Regular Season,1630598,Aaron Wiggins,1610612760,OKC,61,21.9,3.6,8.4,0.431,1.5,4.2,0.354,0.9,1.1,0.743,
2025-26,Regular Season,1642846,Ace Bailey,1610612762,UTA,70,27.6,5.4,12.2,0.444,1.9,5.5,0.348,0.9,1.2,0.767,
2025-26,Regular Season,1642380,Adama Bal,1610612763,MEM,6,27.3,3.2,7.7,0.413,2.2,5.0,0.433,0.3,0.5,0.667,
2025-26,Regular Season,1641737,Adem Bona,1610612755,PHI,68,17.4,1.9,3.1,0.601,0.0,0.1,0.333,1.1,1.6,0.706,
2025-26,Regular Season,1642876,Adou Thiero,1610612747,LAL,21,5.1,0.5,1.0,0.455,0.0,0.0,0.0,0.4,0.6,0.75,
2025-26,Regular Season,1642349,Ajay Mitchell,1610612760,OKC,55,25.9,5.1,10.5,0.487,1.1,3.1,0.349,2.5,2.9,0.873,
2025-26,Regular Season,201143,Al Horford,1610612744,GSW,43,21.7,3.1,7.2,0.424,1.7,4.6,0.36,0.5,0.6,0.846,
2025-26,Regular Season,1630828,Alex Antetokounmpo,1610612749,MIL,4,3.1,0.3,1.0,0.25,0.0,0.8,0.0,1.0,1.5,0.667,
2025-26,Regular Season,1627936,Alex Caruso,1610612760,OKC,54,18.5,2.3,5.4,0.422,0.9,3.3,0.29,0.8,0.9,0.804,
2025-26,Regular Season,1631457,Alex Morales,1610612753,ORL,2,6.9,0.5,1.5,0.333,0.0,0.0,0.0,0.0,0.0,0.0,
2025-26,Regular Season,1642259,Alex Sarr,1610612764,WAS,48,27.2,6.6,13.7,0.482,1.0,3.1,0.333,2.1,3.0,0.692,
2025-26,Regular Season,1642918,Alijah Martin,1610612761,TOR,21,6.2,0.7,2.1,0.341,0.2,1.0,0.2,0.7,0.9,0.778,
2025-26,Regular Season,1631214,Alondes Williams,1610612764,WAS,4,25.2,4.0,6.5,0.615,1.3,3.5,0.357,1.8,2.0,0.875,
2025-26,Regular Season,1630578,Alperen Sengun,1610612745,HOU,69,33.4,8.2,15.7,0.522,0.6,1.9,0.31,3.7,5.4,0.688,
2025-26,Regular Season,1642873,Amari Williams,1610612738,BOS,21,6.5,0.4,0.9,0.474,0.0,0.0,0.0,0.5,0.7,0.714,
2025-26,Regular Season,1641708,Amen Thompson,1610612745,HOU,76,37.3,6.9,13.1,0.527,0.3,1.5,0.223,3.8,4.9,0.777,
2025-26,Regular Season,1629599,Amir Coffey,1610612756,PHX,43,10.2,1.0,2.2,0.484,0.3,1.0,0.317,0.5,0.7,0.786,
2025-26,Regular Season,1643158,Andersson Garcia,1610612762,UTA,5,33.8,1.8,5.8,0.31,0.2,2.6,0.077,1.4,1.8,0.778,
2025-26,Regular Season,203083,Andre Drummond,1610612755,PHI,60,19.2,2.5,5.3,0.47,0.5,1.4,0.349,0.8,1.3,0.641,
2025-26,Regular Season,1641748,Andre Jackson Jr.,1610612749,MIL,44,7.8,0.8,2.3,0.333,0.3,1.2,0.283,0.3,0.5,0.7,
2025-26,Regular Season,1629614,Andrew Nembhard,1610612754,IND,57,31.3,5.8,13.2,0.442,1.9,5.2,0.361,3.4,4.1,0.825,
2025-26,Regular Season,203952,Andrew Wiggins,1610612748,MIA,64,30.6,5.9,12.3,0.478,2.0,4.9,0.417,1.8,2.3,0.787,
2025-26,Regular Season,1629014,Anfernee Simons,1610612741,CHI,55,24.9,5.2,11.8,0.44,2.7,6.9,0.385,1.3,1.4,0.896,
2025-26,Regular Season,1641710,Anthony Black,1610612753,ORL,61,30.4,5.5,12.2,0.45,1.6,4.7,0.338,2.7,3.6,0.73,
2025-26,Regular Season,203076,Anthony Davis,1610612764,WAS,20,31.3,8.5,16.7,0.506,0.5,1.9,0.27,3.0,4.1,0.728,
2025-26,Regular Season,1630162,Anthony Edwards,1610612750,MIN,60,35.2,9.9,20.3,0.489,3.4,8.5,0.398,5.7,7.2,0.796,
2025-26,Regular Season,1630264,Anthony Gill,1610612764,WAS,51,16.3,2.3,3.7,0.623,0.3,0.8,0.317,0.5,0.6,0.774,
2025-26,Regular Season,1641810,Antonio Reeves,1610612766,CHA,10,6.8,1.0,2.0,0.5,0.7,1.3,0.538,0.0,0.0,0.0,
2025-26,Regular Season,1630574,Ariel Hukporti,1610612752,NYK,52,8.8,0.7,1.3,0.544,0.0,0.1,0.25,0.5,0.6,0.788,
2025-26,Regular Season,1642854,Asa Newell,1610612737,ATL,42,10.8,2.0,3.7,0.539,0.7,1.7,0.394,0.3,0.6,0.56,
2025-26,Regular Season,1641709,Ausar Thompson,1610612765,DET,70,26.1,4.2,8.0,0.521,0.1,0.3,0.261,1.5,2.6,0.565,
2025-26,Regular Season,1630559,Austin Reaves,1610612747,LAL,51,34.5,7.3,14.9,0.49,2.3,6.4,0.36,6.3,7.3,0.871,
2025-26,Regular Season,1630245,Ayo Dosunmu,1610612750,MIN,67,27.2,5.5,10.7,0.514,1.8,4.1,0.443,1.8,2.1,0.871,
2025-26,Regular Season,1628389,Bam Adebayo,1610612748,MIA,69,32.2,6.9,15.7,0.439,1.7,5.5,0.317,4.6,5.9,0.778,
2025-26,Regular Season,1631248,Baylor Scheierman,1610612738,BOS,73,18.2,1.8,4.1,0.444,1.1,2.9,0.381,0.3,0.3,0.864,
2025-26,Regular Season,1642879,Ben Saraf,1610612751,BKN,40,19.6,2.4,6.2,0.382,0.4,1.9,0.216,1.5,1.8,0.817,
2025-26,Regular Season,1641767,Ben Sheppard,1610612754,IND,65,21.4,2.6,6.0,0.434,1.3,3.6,0.362,0.6,0.8,0.765,
2025-26,Regular Season,1631097,Bennedict Mathurin,1610612746,LAC,50,30.6,5.6,12.8,0.436,1.5,4.5,0.322,5.5,6.4,0.871,
2025-26,Regular Season,1643016,Bez Mbeng,1610612762,UTA,12,29.8,1.8,4.4,0.396,0.3,1.7,0.15,0.8,1.3,0.667,
2025-26,Regular Season,1641731,Bilal Coulibaly,1610612764,WAS,54,26.3,4.0,9.5,0.416,1.1,3.7,0.308,2.3,3.1,0.747,
2025-26,Regular Season,202687,Bismack Biyombo,1610612759,SAS,24,5.7,0.3,0.6,0.571,0.0,0.0,0.0,0.2,0.3,0.714,
2025-26,Regular Season,1642396,Blake Hinson,1610612762,UTA,11,19.4,3.6,7.0,0.519,2.6,5.2,0.509,0.7,1.1,0.667,
2025-26,Regular Season,1631104,Blake Wesley,1610612757,POR,28,12.6,2.0,4.3,0.458,0.4,1.3,0.286,0.9,1.6,0.556,
2025-26,Regular Season,1626171,Bobby Portis,1610612749,MIL,67,24.2,5.5,11.2,0.488,2.0,4.4,0.456,0.7,1.0,0.706,
2025-26,Regular Season,1641752,Bobi Klintman,1610612765,DET,12,5.9,0.8,2.3,0.333,0.3,1.1,0.308,0.0,0.3,0.0,
2025-26,Regular Season,203992,Bogdan Bogdanović,1610612746,LAC,22,19.6,2.4,6.5,0.371,1.3,4.0,0.322,0.9,1.1,0.8,
2025-26,Regular Season,1630538,Bones Hyland,1610612750,MIN,69,16.4,3.0,6.5,0.452,1.6,4.1,0.382,0.9,1.1,0.776,
2025-26,Regular Season,203078,Bradley Beal,1610612746,LAC,6,20.2,3.0,8.0,0.375,1.2,3.2,0.368,1.0,1.3,0.75,
2025-26,Regular Season,1642382,Branden Carlson,1610612760,OKC,39,10.3,2.0,3.7,0.535,0.6,1.6,0.344,0.2,0.5,0.5,
2025-26,Regular Season,1641764,Brandin Podziemski,1610612744,GSW,78,28.5,4.7,10.4,0.454,1.8,5.0,0.369,2.2,2.8,0.783,
2025-26,Regular Season,1629634,Brandon Clarke,1610612763,MEM,2,10.2,1.5,4.5,0.333,0.0,0.0,0.0,1.0,2.0,0.5,
2025-26,Regular Season,1627742,Brandon Ingram,1610612761,TOR,73,33.8,7.9,16.8,0.471,1.7,4.6,0.376,3.7,4.5,0.822,
2025-26,Regular Season,1641706,Brandon Miller,1610612766,CHA,62,30.3,7.0,16.1,0.434,3.2,8.2,0.387,3.0,3.4,0.892,
2025-26,Regular Season,1630314,Brandon Williams,1610612742,DAL,66,22.2,4.4,9.3,0.472,0.5,2.3,0.232,3.7,4.6,0.793,
2025-26,Regular Season,1641729,Brice Sensabaugh,1610612762,UTA,73,23.6,5.3,11.4,0.463,2.2,5.8,0.369,2.2,2.6,0.827,
2025-26,Regular Season,1642355,Bronny James,1610612747,LAL,38,7.9,0.9,2.4,0.4,0.4,1.1,0.381,0.2,0.2,0.857,
2025-26,Regular Season,201572,Brook Lopez,1610612746,LAC,71,21.4,3.0,7.0,0.423,1.5,4.1,0.354,0.8,1.0,0.786,
2025-26,Regular Season,1642964,Brooks Barnhizer,1610612760,OKC,37,7.7,0.5,1.4,0.373,0.1,0.5,0.294,0.1,0.2,0.667,
2025-26,Regular Season,1628971,Bruce Brown,1610612743,DEN,79,24.3,2.9,6.3,0.466,0.7,1.8,0.385,1.2,1.5,0.769,
2025-26,Regular Season,1631121,Bryce McGowens,1610612740,NOP,42,21.0,2.7,5.6,0.481,0.9,2.2,0.409,1.8,2.3,0.779,
2025-26,Regular Season,1642267,Bub Carrington,1610612764,WAS,78,27.5,3.7,8.8,0.418,2.0,4.9,0.396,1.0,1.3,0.721,
2025-26,Regular Season,1631205,Buddy Boeheim,1610612760,OKC,4,3.8,0.5,1.5,0.333,0.5,1.5,0.333,0.0,0.0,0.0,
2025-26,Regular Season,1627741,Buddy Hield,1610612737,ATL,50,16.0,2.6,6.2,0.424,1.3,4.0,0.333,0.6,0.7,0.811,
2025-26,Regular Season,1643047,CJ Huntley,1610612756,PHX,2,3.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
2025-26,Regular Season,203468,CJ McCollum,1610612737,ATL,74,29.8,6.9,15.2,0.453,2.5,6.7,0.371,2.5,3.2,0.774,
2025-26,Regular Season,1630595,Cade Cunningham,1610612765,DET,61,34.4,8.7,18.9,0.461,2.0,5.8,0.346,5.1,6.2,0.814,
2025-26,Regular Season,1631216,Caleb Houstan,1610612737,ATL,18,4.2,0.8,1.4,0.538,0.6,1.2,0.524,0.2,0.2,1.0,
2025-26,Regular Season,1631126,Caleb Love,1610612757,POR,47,21.5,4.0,10.4,0.389,2.0,6.2,0.32,0.8,1.0,0.735,
2025-26,Regular Season,1628997,Caleb Martin,1610612742,DAL,58,14.8,1.5,3.3,0.45,0.3,1.0,0.351,0.6,1.1,0.607,
2025-26,Regular Season,1642353,Cam Christie,1610612746,LAC,52,9.0,1.0,2.6,0.382,0.2,0.9,0.245,0.7,1.0,0.76,
2025-26,Regular Season,1642285,Cam Spencer,1610612763,MEM,72,23.8,3.7,7.7,0.473,2.0,4.5,0.449,1.8,1.9,0.94,
2025-26,Regular Season,1630560,Cam Thomas,1610612749,MIL,42,21.0,4.5,11.0,0.41,1.2,4.0,0.31,3.3,4.0,0.811,
2025-26,Regular Season,1641715,Cam Whitmore,1610612764,WAS,21,16.9,3.7,8.0,0.456,0.8,2.7,0.286,1.1,1.5,0.742,
2025-26,Regular Season,1629661,Cameron Johnson,1610612743,DEN,53,30.5,4.2,8.7,0.475,2.0,4.8,0.429,1.8,2.1,0.839,
2025-26,Regular Season,1626166,Cameron Payne,1610612755,PHI,22,17.0,2.5,6.8,0.376,1.5,4.4,0.33,0.9,1.0,0.864,
2025-26,Regular Season,1627747,Caris LeVert,1610612765,DET,57,19.4,2.8,6.6,0.419,1.0,3.1,0.33,0.9,1.3,0.658,
2025-26,Regular Season,1642868,Carter Bryant,1610612759,SAS,68,10.8,1.4,3.5,0.387,0.6,2.0,0.309,0.4,0.6,0.725,
2025-26,Regular Season,1641717,Cason Wallace,1610612760,OKC,75,26.7,3.3,7.7,0.436,1.3,3.7,0.352,0.7,0.9,0.803,
2025-26,Regular Season,1642907,Cedric Coward,1610612763,MEM,61,25.8,4.8,10.3,0.468,1.5,4.4,0.336,2.2,2.6,0.845,
2025-26,Regular Season,1643052,Chaney Johnson,1610612751,BKN,15,20.2,2.9,5.1,0.558,0.5,1.7,0.308,1.6,2.0,0.8,
2025-26,Regular Season,1629646,Charles Bassey,1610612744,GSW,9,6.9,1.3,2.0,0.667,0.0,0.0,0.0,0.4,0.9,0.5,
2025-26,Regular Season,1642404,Chaz Lanier,1610612765,DET,31,8.0,0.8,2.7,0.306,0.6,2.1,0.281,0.2,0.2,0.833,
2025-26,Regular Season,1631096,Chet Holmgren,1610612760,OKC,67,29.0,6.2,11.3,0.553,1.3,3.5,0.356,3.2,4.0,0.797,
