GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1630595,Cade Cunningham,Cade,1610612765,DET,24.0,31,21,10,0.677,3.4,1.3,2.5,0.5,0.0,0.5,0.067,1.4,1.7,0.792,0.2,0.5,0.7,0.6,0.3,0.1,0.1,0.0,0.5,1.1,3.9,1.4,5.9,19,2,5.6,36,7,134,71,104,11,12,119,245,132,246,8,8,162,127,92,106,27,40,147,90,193,111,5,12,86,13,7,8,17,1,2025-26,Regular Season,Base
Players,1631126,Caleb Love,Caleb,1610612757,POR,24.0,12,7,5,0.583,2.8,0.5,1.2,0.429,0.4,1.1,0.385,0.3,0.5,0.5,0.1,0.2,0.3,0.0,0.1,0.1,0.1,0.0,0.1,0.3,1.7,-0.5,2.4,0,0,2.7,247,204,261,140,207,106,115,198,15,13,94,184,125,258,213,305,304,334,237,163,101,200,368,184,104,287,186,205,24,140,1,2025-26,Regular Season,Base
Players,1628997,Caleb Martin,Caleb,1610612742,DAL,30.0,13,5,8,0.385,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-1.6,0.1,0,0,0.1,234,256,183,343,449,356,404,356,247,338,247,303,317,303,289,356,381,334,289,254,188,200,278,337,379,388,425,205,24,428,1,2025-26,Regular Season,Base
Players,1642285,Cam Spencer,Cam,1610612763,MEM,26.0,28,11,17,0.393,1.9,0.4,0.7,0.526,0.2,0.4,0.6,0.1,0.1,1.0,0.1,0.4,0.5,0.4,0.2,0.0,0.0,0.1,0.1,0.0,1.0,-1.1,2.1,4,0,2.2,61,115,24,339,331,181,228,108,84,187,34,287,309,1,142,188,171,88,106,245,188,111,376,336,197,360,216,63,24,197,1,2025-26,Regular Season,Base
Players,1630560,Cam Thomas,Cam,1610612749,MIL,24.0,6,1,5,0.167,2.1,0.7,1.8,0.364,0.3,0.8,0.4,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.3,0.2,1.7,0.2,2.0,0,0,2.3,334,383,261,429,302,64,47,256,26,42,82,303,317,303,289,305,348,211,111,254,188,30,181,249,104,205,244,205,24,178,2,2025-26,Regular Season,Base
Players,1641715,Cam Whitmore,Cam,1610612764,WAS,21.0,4,1,3,0.25,3.2,0.3,0.5,0.5,0.0,0.3,0.0,0.5,0.8,0.667,0.0,0.5,0.5,0.0,0.3,0.0,0.0,0.0,0.5,0.5,1.0,-2.5,1.4,0,0,1.5,371,383,335,402,138,247,280,119,247,235,247,86,67,213,289,95,171,334,64,254,188,200,73,65,197,440,309,205,24,282,1,2025-26,Regular Season,Base
Players,1629661,Cameron Johnson,Cameron,1610612743,DEN,30.0,23,11,12,0.478,4.3,0.2,0.7,0.294,0.2,0.6,0.308,0.3,0.4,0.889,0.0,0.4,0.4,0.2,0.0,0.1,0.1,0.0,0.5,0.2,1.0,0.5,2.4,0,0,2.2,117,115,89,262,30,272,210,307,110,100,152,138,167,95,289,144,217,207,289,103,98,163,101,227,219,161,185,205,24,198,1,2025-26,Regular Season,Base
Players,1626166,Cameron Payne,Cameron,1610612755,PHI,31.0,1,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0.0,442,383,450,1,478,356,406,356,247,338,247,303,317,303,289,366,385,334,289,254,188,200,382,337,379,52,427,205,24,429,1,2025-26,Regular Season,Base
Players,1627747,Caris LeVert,Caris,1610612765,DET,31.0,15,8,7,0.533,2.6,0.3,1.0,0.333,0.2,0.7,0.273,0.2,0.4,0.5,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.0,0.1,0.4,1.1,0.1,2.3,0,0,2.3,211,180,207,192,229,191,130,273,90,57,174,206,161,258,245,198,240,316,159,101,59,200,350,104,192,210,196,205,24,187,1,2025-26,Regular Season,Base
Players,1642868,Carter Bryant,Carter,1610612759,SAS,20.0,3,2,1,0.667,0.8,0.3,0.3,1.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,-0.3,1.0,0,0,1.3,390,346,400,72,433,191,335,1,26,192,1,303,317,303,289,366,385,334,289,254,188,200,181,337,197,262,356,205,24,300,1,2025-26,Regular Season,Base
