PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE
1629636,"Garland, Darius",4,41,15,6+ Feet - Wide Open,0.287,33,66,0.5,0.72,0.03,4,7,0.571,0.257,29,59,0.492,2025-26,Regular Season
1642357,"Jones Garcia, David",3,11,1,4-6 Feet - Open,0.08,0,2,0.0,0.0,0.04,0,1,0.0,0.04,0,1,0.0,2025-26,Regular Season
1642357,"Jones Garcia, David",4,11,2,6+ Feet - Wide Open,0.16,3,4,0.75,1.125,0.0,0,0,,0.16,3,4,0.75,2025-26,Regular Season
1631223,"Roddy, David",3,3,3,4-6 Feet - Open,0.6,0,3,0.0,0.0,0.0,0,0,,0.6,0,3,0.0,2025-26,Regular Season
1631223,"Roddy, David",4,3,1,6+ Feet - Wide Open,0.2,0,1,0.0,0.0,0.0,0,0,,0.2,0,1,0.0,2025-26,Regular Season
1630558,"Mitchell, Davion",2,66,6,2-4 Feet - Tight,0.012,4,6,0.667,0.75,0.01,3,5,0.6,0.002,1,1,1.0,2025-26,Regular Season
1630558,"Mitchell, Davion",3,66,49,4-6 Feet - Open,0.157,30,78,0.385,0.474,0.08,16,40,0.4,0.076,14,38,0.368,2025-26,Regular Season
1630558,"Mitchell, Davion",4,66,61,6+ Feet - Wide Open,0.376,77,187,0.412,0.599,0.024,7,12,0.583,0.352,70,175,0.4,2025-26,Regular Season
1630549,"Sharpe, Day'Ron",2,62,2,2-4 Feet - Tight,0.006,0,2,0.0,0.0,0.003,0,1,0.0,0.003,0,1,0.0,2025-26,Regular Season
1630549,"Sharpe, Day'Ron",3,62,7,4-6 Feet - Open,0.022,1,8,0.125,0.188,0.0,0,0,,0.022,1,8,0.125,2025-26,Regular Season
1630549,"Sharpe, Day'Ron",4,62,26,6+ Feet - Wide Open,0.09,8,32,0.25,0.375,0.006,0,2,0.0,0.084,8,30,0.267,2025-26,Regular Season
1628368,"Fox, De'Aaron",1,67,8,0-2 Feet - Very Tight,0.01,5,9,0.556,0.556,0.01,5,9,0.556,0.0,0,0,,2025-26,Regular Season
1628368,"Fox, De'Aaron",2,67,46,2-4 Feet - Tight,0.093,38,88,0.432,0.46,0.069,33,65,0.508,0.024,5,23,0.217,2025-26,Regular Season
1628368,"Fox, De'Aaron",3,67,66,4-6 Feet - Open,0.337,128,318,0.403,0.491,0.158,72,149,0.483,0.179,56,169,0.331,2025-26,Regular Season
1628368,"Fox, De'Aaron",4,67,63,6+ Feet - Wide Open,0.196,71,185,0.384,0.538,0.027,14,25,0.56,0.17,57,160,0.356,2025-26,Regular Season
1629631,"Hunter, De'Andre",2,45,2,2-4 Feet - Tight,0.316,0,6,0.0,0.0,0.263,0,5,0.0,0.053,0,1,0.0,2025-26,Regular Season
1629631,"Hunter, De'Andre",3,45,2,4-6 Feet - Open,0.421,2,8,0.25,0.313,0.053,1,1,1.0,0.368,1,7,0.143,2025-26,Regular Season
1629631,"Hunter, De'Andre",4,45,1,6+ Feet - Wide Open,0.105,2,2,1.0,1.25,0.053,1,1,1.0,0.053,1,1,1.0,2025-26,Regular Season
1629001,"Melton, De'Anthony",2,44,23,2-4 Feet - Tight,0.068,7,32,0.219,0.266,0.025,4,12,0.333,0.042,3,20,0.15,2025-26,Regular Season
1629001,"Melton, De'Anthony",3,44,40,4-6 Feet - Open,0.216,29,102,0.284,0.392,0.042,7,20,0.35,0.173,22,82,0.268,2025-26,Regular Season
1629001,"Melton, De'Anthony",4,44,42,6+ Feet - Wide Open,0.254,39,120,0.325,0.475,0.011,3,5,0.6,0.243,36,115,0.313,2025-26,Regular Season
1630610,"Jarreau, DeJon",2,11,3,2-4 Feet - Tight,0.036,1,3,0.333,0.333,0.036,1,3,0.333,0.0,0,0,,2025-26,Regular Season
1630610,"Jarreau, DeJon",3,11,8,4-6 Feet - Open,0.145,1,12,0.083,0.083,0.06,1,5,0.2,0.084,0,7,0.0,2025-26,Regular Season
1630610,"Jarreau, DeJon",4,11,9,6+ Feet - Wide Open,0.349,8,29,0.276,0.345,0.072,4,6,0.667,0.277,4,23,0.174,2025-26,Regular Season
