PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,TOUCH_TIME_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE
1641726,"Lively II, Dereck",1,7,7,Touch < 2 Seconds,1.0,11,18,0.611,0.611,1.0,11,18,0.611,0.0,0,0,,2025-26,Regular Season
1642852,"Queen, Derik",1,77,73,Touch < 2 Seconds,0.378,133,258,0.516,0.552,0.274,114,187,0.61,0.104,19,71,0.268,2025-26,Regular Season
1642852,"Queen, Derik",2,77,70,Touch 2-6 Seconds,0.375,110,256,0.43,0.434,0.366,108,250,0.432,0.009,2,6,0.333,2025-26,Regular Season
1642852,"Queen, Derik",3,77,64,Touch 6+ Seconds,0.247,81,169,0.479,0.482,0.242,80,165,0.485,0.006,1,4,0.25,2025-26,Regular Season
1627884,"Jones Jr., Derrick",1,45,45,Touch < 2 Seconds,0.746,135,259,0.521,0.616,0.354,86,123,0.699,0.392,49,136,0.36,2025-26,Regular Season
1627884,"Jones Jr., Derrick",2,45,37,Touch 2-6 Seconds,0.251,40,87,0.46,0.466,0.233,39,81,0.481,0.017,1,6,0.167,2025-26,Regular Season
1627884,"Jones Jr., Derrick",3,45,1,Touch 6+ Seconds,0.003,0,1,0.0,0.0,0.003,0,1,0.0,0.0,0,0,,2025-26,Regular Season
1628401,"White, Derrick",1,73,72,Touch < 2 Seconds,0.396,162,422,0.384,0.526,0.058,42,62,0.677,0.338,120,360,0.333,2025-26,Regular Season
1628401,"White, Derrick",2,73,70,Touch 2-6 Seconds,0.372,170,397,0.428,0.481,0.246,128,262,0.489,0.127,42,135,0.311,2025-26,Regular Season
1628401,"White, Derrick",3,73,66,Touch 6+ Seconds,0.232,86,247,0.348,0.415,0.126,53,134,0.396,0.106,33,113,0.292,2025-26,Regular Season
1630217,"Bane, Desmond",1,77,76,Touch < 2 Seconds,0.379,210,427,0.492,0.615,0.157,105,177,0.593,0.222,105,250,0.42,2025-26,Regular Season
1630217,"Bane, Desmond",2,77,76,Touch 2-6 Seconds,0.448,241,505,0.477,0.517,0.345,201,388,0.518,0.104,40,117,0.342,2025-26,Regular Season
1630217,"Bane, Desmond",3,77,63,Touch 6+ Seconds,0.172,93,194,0.479,0.505,0.144,83,162,0.512,0.028,10,32,0.313,2025-26,Regular Season
1626164,"Booker, Devin",1,61,59,Touch < 2 Seconds,0.223,112,249,0.45,0.558,0.092,58,103,0.563,0.131,54,146,0.37,2025-26,Regular Season
1626164,"Booker, Devin",2,61,61,Touch 2-6 Seconds,0.459,248,513,0.483,0.526,0.345,204,385,0.53,0.115,44,128,0.344,2025-26,Regular Season
1626164,"Booker, Devin",3,61,61,Touch 6+ Seconds,0.318,150,355,0.423,0.445,0.252,134,282,0.475,0.065,16,73,0.219,2025-26,Regular Season
1642269,"Carter, Devin",1,34,27,Touch < 2 Seconds,0.411,34,95,0.358,0.421,0.156,22,36,0.611,0.255,12,59,0.203,2025-26,Regular Season
1642269,"Carter, Devin",2,34,25,Touch 2-6 Seconds,0.364,40,84,0.476,0.512,0.277,34,64,0.531,0.087,6,20,0.3,2025-26,Regular Season
1642269,"Carter, Devin",3,34,20,Touch 6+ Seconds,0.225,19,52,0.365,0.404,0.182,15,42,0.357,0.043,4,10,0.4,2025-26,Regular Season
1630170,"Vassell, Devin",1,62,61,Touch < 2 Seconds,0.662,194,458,0.424,0.579,0.134,52,93,0.559,0.527,142,365,0.389,2025-26,Regular Season
1630170,"Vassell, Devin",2,62,59,Touch 2-6 Seconds,0.292,97,202,0.48,0.51,0.25,85,173,0.491,0.042,12,29,0.414,2025-26,Regular Season
1630170,"Vassell, Devin",3,62,21,Touch 6+ Seconds,0.046,12,32,0.375,0.391,0.042,11,29,0.379,0.004,1,3,0.333,2025-26,Regular Season
1628415,"Brooks, Dillon",1,52,52,Touch < 2 Seconds,0.34,113,305,0.37,0.51,0.057,28,51,0.549,0.283,85,254,0.335,2025-26,Regular Season
1628415,"Brooks, Dillon",2,52,52,Touch 2-6 Seconds,0.427,187,383,0.488,0.525,0.349,159,313,0.508,0.078,28,70,0.4,2025-26,Regular Season
1628415,"Brooks, Dillon",3,52,49,Touch 6+ Seconds,0.232,92,208,0.442,0.462,0.204,84,183,0.459,0.028,8,25,0.32,2025-26,Regular Season
