PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
203083,Andre Drummond,1610612755,PHI,58,31,27,1123.0,1288,11,5,8,0.625,1,2,0.5,11,1.0,0,0.0,0,0.0,1,0.091,1,0.091,2025-26,Regular Season,PostTouch
1641748,Andre Jackson Jr.,1610612749,MIL,44,11,33,342.0,717,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1629614,Andrew Nembhard,1610612754,IND,57,13,44,1786.0,4984,9,1,6,0.167,0,0,0.0,2,0.222,3,0.333,2,0.222,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
203952,Andrew Wiggins,1610612748,MIA,63,32,31,1934.0,2783,59,15,31,0.484,9,12,0.75,39,0.661,17,0.288,2,0.034,4,0.068,6,0.102,2025-26,Regular Season,PostTouch
1629014,Anfernee Simons,1610612741,CHI,55,31,24,1372.0,2456,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641710,Anthony Black,1610612753,ORL,60,33,27,1841.0,3507,6,2,4,0.5,0,0,0.0,4,0.667,2,0.333,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
203076,Anthony Davis,1610612764,WAS,20,10,10,626.0,1187,64,10,25,0.4,1,2,0.5,23,0.359,25,0.391,6,0.094,6,0.094,1,0.016,2025-26,Regular Season,PostTouch
1630162,Anthony Edwards,1610612750,MIN,60,36,24,2109.0,4373,75,15,37,0.405,10,14,0.714,40,0.533,24,0.32,4,0.053,4,0.053,7,0.093,2025-26,Regular Season,PostTouch
1630264,Anthony Gill,1610612764,WAS,49,6,43,769.0,972,3,1,2,0.5,0,0,0.0,2,0.667,1,0.333,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641810,Antonio Reeves,1610612766,CHA,10,4,6,68.0,70,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1630574,Ariel Hukporti,1610612752,NYK,52,34,18,455.0,461,5,0,2,0.0,0,0,0.0,0,0.0,1,0.2,0,0.0,1,0.2,0,0.0,2025-26,Regular Season,PostTouch
1642854,Asa Newell,1610612737,ATL,42,22,20,453.0,583,7,0,1,0.0,0,0,0.0,0,0.0,4,0.571,1,0.143,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1641709,Ausar Thompson,1610612765,DET,68,49,19,1769.0,2791,11,1,1,1.0,5,8,0.625,7,0.636,4,0.364,0,0.0,0,0.0,4,0.364,2025-26,Regular Season,PostTouch
1630559,Austin Reaves,1610612747,LAL,51,36,15,1762.0,3705,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
